time,theta_x,theta_y,pwm_px,pwm_nx,pwm_py,pwm_ny,pwm_px_raw,pwm_nx_raw,pwm_py_raw,pwm_ny_raw
1380.00,2.54,-29.31,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
1495.00,1.76,-29.31,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
1560.00,1.76,-30.02,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
1626.00,1.76,-30.67,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
1691.00,1.76,-29.98,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
1757.00,1.76,-28.13,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
1822.00,1.76,-26.78,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
1888.00,2.92,-26.78,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
1953.00,2.92,-27.87,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
2019.00,2.92,-27.08,2.00,0.00,6.00,0.00,21.00,0.00,28.00,0.00
2084.00,3.64,-25.91,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2150.00,3.64,-25.91,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2215.00,3.64,-27.13,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2281.00,3.64,-27.13,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2347.00,3.10,-26.63,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2412.00,3.10,-26.63,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2478.00,3.10,-26.05,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2543.00,3.10,-25.50,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2609.00,3.10,-25.50,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2674.00,3.10,-25.50,0.00,8.00,5.00,0.00,0.00,32.00,27.00,0.00
2740.00,3.10,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
2804.00,3.10,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
2869.00,2.33,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
2933.00,2.33,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
2998.00,2.33,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
3062.00,2.33,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
3127.00,2.33,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
3191.00,2.33,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
3255.00,2.33,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
3319.00,2.33,-25.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
3385.00,2.33,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3448.00,2.33,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3513.00,2.33,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3577.00,2.33,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3642.00,1.62,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3706.00,1.11,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3771.00,1.11,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3835.00,1.11,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3900.00,1.11,-25.50,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
3964.00,1.11,-26.26,0.00,6.00,0.00,0.00,0.00,28.00,0.00,0.00
4030.00,0.56,-26.26,9.00,0.00,8.00,0.00,29.00,0.00,31.00,0.00
4094.00,0.56,-27.40,9.00,0.00,8.00,0.00,29.00,0.00,31.00,0.00
4160.00,0.56,-27.40,9.00,0.00,8.00,0.00,29.00,0.00,31.00,0.00
4226.00,0.56,-26.81,9.00,0.00,8.00,0.00,29.00,0.00,31.00,0.00
