time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1881.00,-3.75,-15.16,0.00,0.00,0.00,0.00,0.00,0.00
1986.00,-2.70,-15.16,0.00,0.00,0.00,0.00,0.00,0.00
2050.00,-2.70,-15.16,0.00,0.00,0.00,0.00,0.00,0.00
2113.00,-2.70,-15.16,0.00,0.00,0.00,0.00,0.00,0.00
2176.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2239.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2302.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2366.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2429.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2493.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2685.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2791.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2854.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2918.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
2981.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3045.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3107.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3171.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3234.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3298.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3488.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3594.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3657.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3721.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3784.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3848.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3911.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
3974.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
4037.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
4101.00,-2.70,-14.65,0.00,0.00,0.00,0.00,0.00,0.00
4292.00,-2.70,-14.65,1.00,0.00,20.00,0.00,0.00,0.00
4399.00,-2.70,-14.65,1.00,0.00,20.00,0.00,0.00,0.00
4463.00,-2.70,-14.65,1.00,0.00,20.00,0.00,0.00,0.00
4528.00,-2.70,-15.51,1.00,0.00,20.00,0.00,0.00,0.00
4592.00,-2.70,-15.51,1.00,0.00,20.00,0.00,0.00,0.00
4657.00,-2.70,-14.76,1.00,0.00,20.00,0.00,0.00,0.00
4721.00,-1.95,-14.76,1.00,0.00,20.00,0.00,0.00,0.00
4786.00,-1.95,-14.76,1.00,0.00,20.00,0.00,0.00,0.00
4850.00,-1.95,-14.76,1.00,0.00,20.00,0.00,0.00,0.00
4915.00,-1.95,-14.76,1.00,0.00,20.00,0.00,0.00,0.00
5106.00,-1.95,-15.72,1.00,-1.00,20.00,0.00,0.00,19.00
5215.00,-1.30,-15.21,1.00,-1.00,20.00,0.00,0.00,19.00
5281.00,-1.30,-14.35,1.00,-1.00,20.00,0.00,0.00,19.00
5348.00,-1.30,-14.35,1.00,-1.00,20.00,0.00,0.00,19.00
5414.00,-1.30,-14.35,1.00,-1.00,20.00,0.00,0.00,19.00
5481.00,-1.30,-14.35,1.00,-1.00,20.00,0.00,0.00,19.00
5548.00,-1.30,-15.09,1.00,-1.00,20.00,0.00,0.00,19.00
5614.00,-1.30,-14.58,1.00,-1.00,20.00,0.00,0.00,19.00
5681.00,-1.30,-14.00,1.00,-1.00,20.00,0.00,0.00,19.00
5747.00,-0.76,-14.00,1.00,-1.00,20.00,0.00,0.00,19.00
