time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1881.00,-2.17,-15.53,1.00,0.00,20.00,0.00,0.00,0.00
1987.00,-2.17,-15.53,1.00,0.00,20.00,0.00,0.00,0.00
2052.00,-2.17,-15.53,1.00,0.00,20.00,0.00,0.00,0.00
2116.00,-1.50,-15.53,1.00,0.00,20.00,0.00,0.00,0.00
2181.00,-1.50,-15.53,1.00,0.00,20.00,0.00,0.00,0.00
2245.00,-0.63,-15.53,1.00,0.00,20.00,0.00,0.00,0.00
2310.00,-0.63,-14.95,1.00,0.00,20.00,0.00,0.00,0.00
2374.00,-0.05,-14.95,1.00,0.00,20.00,0.00,0.00,0.00
2439.00,-0.05,-15.67,1.00,0.00,20.00,0.00,0.00,0.00
2503.00,-0.05,-15.67,1.00,0.00,20.00,0.00,0.00,0.00
2693.00,-0.05,-15.67,2.00,0.00,21.11,0.00,0.00,0.00
2799.00,1.35,-15.67,2.00,0.00,21.11,0.00,0.00,0.00
2863.00,1.88,-15.67,2.00,0.00,21.11,0.00,0.00,0.00
2926.00,2.43,-15.03,2.00,0.00,21.11,0.00,0.00,0.00
2990.00,3.06,-15.03,2.00,0.00,21.11,0.00,0.00,0.00
3053.00,3.61,-15.03,2.00,0.00,21.11,0.00,0.00,0.00
3117.00,4.18,-15.03,2.00,0.00,21.11,0.00,0.00,0.00
3180.00,4.18,-15.03,2.00,0.00,21.11,0.00,0.00,0.00
3244.00,4.18,-15.03,2.00,0.00,21.11,0.00,0.00,0.00
3307.00,4.72,-15.03,2.00,0.00,21.11,0.00,0.00,0.00
3496.00,5.61,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
3602.00,6.94,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
3665.00,8.12,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
3729.00,8.81,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
3792.00,8.81,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
3856.00,9.87,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
3919.00,10.79,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
3984.00,11.80,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
4048.00,12.49,-15.03,3.00,0.00,22.22,0.00,0.00,0.00
4113.00,13.11,-15.94,3.00,0.00,22.22,0.00,0.00,0.00
