time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1873.00,-12.80,-0.37,3.00,-2.00,22.22,0.00,0.00,20.22
1982.00,-12.80,-0.37,3.00,-2.00,22.22,0.00,0.00,20.22
2049.00,-12.80,0.26,3.00,-2.00,22.22,0.00,0.00,20.22
2114.00,-12.80,0.26,3.00,-2.00,22.22,0.00,0.00,20.22
2180.00,-12.80,-1.06,3.00,-2.00,22.22,0.00,0.00,20.22
2246.00,-11.92,-1.69,3.00,-2.00,22.22,0.00,0.00,20.22
2313.00,-11.92,-1.69,3.00,-2.00,22.22,0.00,0.00,20.22
2379.00,-11.33,-1.69,3.00,-2.00,22.22,0.00,0.00,20.22
2446.00,-11.33,-2.87,3.00,-2.00,22.22,0.00,0.00,20.22
2512.00,-10.63,-3.54,3.00,-2.00,22.22,0.00,0.00,20.22
2706.00,-10.09,-3.54,5.00,-3.00,24.44,0.00,0.00,21.44
2814.00,-9.28,-3.54,5.00,-3.00,24.44,0.00,0.00,21.44
2880.00,-8.18,-3.54,5.00,-3.00,24.44,0.00,0.00,21.44
2946.00,-7.37,-4.17,5.00,-3.00,24.44,0.00,0.00,21.44
3011.00,-7.37,-4.17,5.00,-3.00,24.44,0.00,0.00,21.44
3077.00,-7.37,-4.17,5.00,-3.00,24.44,0.00,0.00,21.44
3142.00,-7.37,-4.17,5.00,-3.00,24.44,0.00,0.00,21.44
3208.00,-6.80,-4.17,5.00,-3.00,24.44,0.00,0.00,21.44
3273.00,-6.25,-5.46,5.00,-3.00,24.44,0.00,0.00,21.44
3339.00,-5.53,-6.17,5.00,-3.00,24.44,0.00,0.00,21.44
3532.00,-4.50,-6.17,8.00,-2.00,27.78,0.00,0.00,20.22
3639.00,-3.03,-7.10,8.00,-2.00,27.78,0.00,0.00,20.22
3704.00,-1.87,-7.98,8.00,-2.00,27.78,0.00,0.00,20.22
3770.00,-0.94,-7.98,8.00,-2.00,27.78,0.00,0.00,20.22
3835.00,0.07,-8.71,8.00,-2.00,27.78,0.00,0.00,20.22
3900.00,0.86,-9.52,8.00,-2.00,27.78,0.00,0.00,20.22
3964.00,1.60,-10.77,8.00,-2.00,27.78,0.00,0.00,20.22
4030.00,2.54,-12.02,8.00,-2.00,27.78,0.00,0.00,20.22
4096.00,3.71,-12.77,8.00,-2.00,27.78,0.00,0.00,20.22
4161.00,4.91,-12.77,8.00,-2.00,27.78,0.00,0.00,20.22
4355.00,6.81,-12.77,5.00,-3.00,24.44,0.00,0.00,21.44
4462.00,9.88,-13.55,5.00,-3.00,24.44,0.00,0.00,21.44
4528.00,12.51,-15.40,5.00,-3.00,24.44,0.00,0.00,21.44
4594.00,14.09,-17.13,5.00,-3.00,24.44,0.00,0.00,21.44
4661.00,15.36,-17.99,5.00,-3.00,24.44,0.00,0.00,21.44
4727.00,16.12,-18.49,5.00,-3.00,24.44,0.00,0.00,21.44
4794.00,16.80,-18.49,5.00,-3.00,24.44,0.00,0.00,21.44
4860.00,17.96,-19.71,5.00,-3.00,24.44,0.00,0.00,21.44
4927.00,19.27,-21.04,5.00,-3.00,24.44,0.00,0.00,21.44
4994.00,20.89,-21.89,5.00,-3.00,24.44,0.00,0.00,21.44
5190.00,23.20,-22.91,2.00,0.00,21.11,0.00,0.00,0.00
5296.00,26.09,-24.65,2.00,0.00,21.11,0.00,0.00,0.00
5360.00,28.60,-25.83,2.00,0.00,21.11,0.00,0.00,0.00
5425.00,30.02,-25.83,2.00,0.00,21.11,0.00,0.00,0.00
5489.00,30.82,-25.83,2.00,0.00,21.11,0.00,0.00,0.00
5554.00,31.58,-25.83,2.00,0.00,21.11,0.00,0.00,0.00
5618.00,32.47,-25.83,2.00,0.00,21.11,0.00,0.00,0.00
5683.00,33.47,-25.83,2.00,0.00,21.11,0.00,0.00,0.00
5747.00,34.49,-25.83,2.00,0.00,21.11,0.00,0.00,0.00
5812.00,35.47,-25.83,2.00,0.00,21.11,0.00,0.00,0.00
6005.00,36.77,-25.83,0.00,1.00,0.00,0.00,21.00,0.00
6112.00,38.45,-25.83,0.00,1.00,0.00,0.00,21.00,0.00
6176.00,39.47,-24.70,0.00,1.00,0.00,0.00,21.00,0.00
6241.00,39.47,-24.00,0.00,1.00,0.00,0.00,21.00,0.00
6305.00,38.92,-24.00,0.00,1.00,0.00,0.00,21.00,0.00
6369.00,38.92,-24.00,0.00,1.00,0.00,0.00,21.00,0.00
6433.00,38.19,-24.00,0.00,1.00,0.00,0.00,21.00,0.00
6498.00,38.19,-23.22,0.00,1.00,0.00,0.00,21.00,0.00
6562.00,38.19,-22.39,0.00,1.00,0.00,0.00,21.00,0.00
6627.00,37.48,-22.39,0.00,1.00,0.00,0.00,21.00,0.00
6820.00,37.48,-22.39,3.00,0.00,22.22,0.00,0.00,0.00
6927.00,36.60,-20.91,3.00,0.00,22.22,0.00,0.00,0.00
6991.00,36.60,-20.00,3.00,0.00,22.22,0.00,0.00,0.00
7056.00,36.60,-20.00,3.00,0.00,22.22,0.00,0.00,0.00
