time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1797.00,-18.51,1.54,-2.00,-1.00,0.00,79.44,0.00,70.00
1904.00,-18.51,1.54,-2.00,-1.00,0.00,79.44,0.00,70.00
1971.00,-18.51,2.33,-2.00,-1.00,0.00,79.44,0.00,70.00
2037.00,-18.51,2.33,-2.00,-1.00,0.00,79.44,0.00,70.00
2104.00,-18.51,1.47,-2.00,-1.00,0.00,79.44,0.00,70.00
2170.00,-18.51,1.47,-2.00,-1.00,0.00,79.44,0.00,70.00
2237.00,-19.07,0.74,-2.00,-1.00,0.00,79.44,0.00,70.00
2304.00,-19.07,0.74,-2.00,-1.00,0.00,79.44,0.00,70.00
2370.00,-19.61,0.74,-2.00,-1.00,0.00,79.44,0.00,70.00
2437.00,-19.61,0.74,-2.00,-1.00,0.00,79.44,0.00,70.00
2633.00,-19.61,0.74,-2.00,-3.00,0.00,79.44,0.00,78.89
2742.00,-19.61,0.74,-2.00,-3.00,0.00,79.44,0.00,78.89
2808.00,-20.19,0.74,-2.00,-3.00,0.00,79.44,0.00,78.89
2875.00,-20.19,0.74,-2.00,-3.00,0.00,79.44,0.00,78.89
2941.00,-20.19,0.74,-2.00,-3.00,0.00,79.44,0.00,78.89
3008.00,-20.19,0.18,-2.00,-3.00,0.00,79.44,0.00,78.89
3075.00,-20.19,0.18,-2.00,-3.00,0.00,79.44,0.00,78.89
3141.00,-20.69,-0.41,-2.00,-3.00,0.00,79.44,0.00,78.89
3209.00,-20.69,-0.41,-2.00,-3.00,0.00,79.44,0.00,78.89
3276.00,-20.69,-1.36,-2.00,-3.00,0.00,79.44,0.00,78.89
3473.00,-20.69,-1.36,0.00,-2.00,0.00,0.00,0.00,74.44
3580.00,-20.69,-1.36,0.00,-2.00,0.00,0.00,0.00,74.44
3646.00,-20.69,-1.36,0.00,-2.00,0.00,0.00,0.00,74.44
3712.00,-20.69,-1.97,0.00,-2.00,0.00,0.00,0.00,74.44
3777.00,-20.69,-1.97,0.00,-2.00,0.00,0.00,0.00,74.44
3843.00,-20.69,-1.97,0.00,-2.00,0.00,0.00,0.00,74.44
3907.00,-20.69,-1.97,0.00,-2.00,0.00,0.00,0.00,74.44
3973.00,-20.69,-1.97,0.00,-2.00,0.00,0.00,0.00,74.44
4038.00,-20.69,-2.57,0.00,-2.00,0.00,0.00,0.00,74.44
4104.00,-20.69,-2.57,0.00,-2.00,0.00,0.00,0.00,74.44
4299.00,-20.69,-3.33,2.00,-2.00,74.44,0.00,0.00,74.44
4408.00,-20.69,-3.33,2.00,-2.00,74.44,0.00,0.00,74.44
4474.00,-20.69,-3.98,2.00,-2.00,74.44,0.00,0.00,74.44
4541.00,-20.01,-3.98,2.00,-2.00,74.44,0.00,0.00,74.44
4608.00,-20.01,-3.98,2.00,-2.00,74.44,0.00,0.00,74.44
4674.00,-19.50,-3.35,2.00,-2.00,74.44,0.00,0.00,74.44
4741.00,-19.50,-3.35,2.00,-2.00,74.44,0.00,0.00,74.44
4807.00,-18.70,-4.45,2.00,-2.00,74.44,0.00,0.00,74.44
4874.00,-18.70,-5.01,2.00,-2.00,74.44,0.00,0.00,74.44
4940.00,-18.20,-5.01,2.00,-2.00,74.44,0.00,0.00,74.44
5136.00,-18.20,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5242.00,-18.20,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5307.00,-17.40,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5370.00,-17.40,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5435.00,-16.81,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5499.00,-16.81,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5564.00,-16.12,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5628.00,-16.12,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5693.00,-15.58,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5757.00,-15.58,-5.54,2.00,0.00,74.44,0.00,0.00,0.00
5952.00,-15.58,-5.54,4.00,-2.00,83.33,0.00,0.00,74.44
6061.00,-14.73,-5.00,4.00,-2.00,83.33,0.00,0.00,74.44
6127.00,-14.73,-5.00,4.00,-2.00,83.33,0.00,0.00,74.44
6194.00,-14.03,-5.00,4.00,-2.00,83.33,0.00,0.00,74.44
6260.00,-13.51,-5.00,4.00,-2.00,83.33,0.00,0.00,74.44
6327.00,-13.51,-5.52,4.00,-2.00,83.33,0.00,0.00,74.44
6393.00,-12.98,-5.52,4.00,-2.00,83.33,0.00,0.00,74.44
6460.00,-12.98,-5.52,4.00,-2.00,83.33,0.00,0.00,74.44
6526.00,-12.98,-6.05,4.00,-2.00,83.33,0.00,0.00,74.44
6593.00,-12.28,-6.05,4.00,-2.00,83.33,0.00,0.00,74.44
6790.00,-12.28,-6.05,5.00,-3.00,87.78,0.00,0.00,78.89
6897.00,-11.42,-6.05,5.00,-3.00,87.78,0.00,0.00,78.89
6964.00,-10.88,-6.83,5.00,-3.00,87.78,0.00,0.00,78.89
7030.00,-10.88,-6.83,5.00,-3.00,87.78,0.00,0.00,78.89
7097.00,-10.20,-6.83,5.00,-3.00,87.78,0.00,0.00,78.89
7163.00,-10.20,-6.83,5.00,-3.00,87.78,0.00,0.00,78.89
7230.00,-9.58,-7.72,5.00,-3.00,87.78,0.00,0.00,78.89
7296.00,-9.58,-8.33,5.00,-3.00,87.78,0.00,0.00,78.89
7361.00,-9.03,-8.93,5.00,-3.00,87.78,0.00,0.00,78.89
7427.00,-9.03,-8.93,5.00,-3.00,87.78,0.00,0.00,78.89
7621.00,-9.03,-8.93,3.00,-4.00,78.89,0.00,0.00,83.33
7729.00,-8.00,-8.93,3.00,-4.00,78.89,0.00,0.00,83.33
7794.00,-7.35,-8.93,3.00,-4.00,78.89,0.00,0.00,83.33
7860.00,-6.83,-8.93,3.00,-4.00,78.89,0.00,0.00,83.33
7925.00,-6.83,-8.93,3.00,-4.00,78.89,0.00,0.00,83.33
7991.00,-6.01,-10.08,3.00,-4.00,78.89,0.00,0.00,83.33
8057.00,-6.01,-10.08,3.00,-4.00,78.89,0.00,0.00,83.33
8124.00,-5.36,-10.83,3.00,-4.00,78.89,0.00,0.00,83.33
8190.00,-5.36,-10.83,3.00,-4.00,78.89,0.00,0.00,83.33
8257.00,-5.36,-11.57,3.00,-4.00,78.89,0.00,0.00,83.33
8455.00,-4.63,-11.57,3.00,-5.00,78.89,0.00,0.00,87.78
8562.00,-4.08,-11.57,3.00,-5.00,78.89,0.00,0.00,87.78
8629.00,-3.54,-12.34,3.00,-5.00,78.89,0.00,0.00,87.78
8695.00,-3.54,-12.34,3.00,-5.00,78.89,0.00,0.00,87.78
8762.00,-3.54,-13.23,3.00,-5.00,78.89,0.00,0.00,87.78
8828.00,-2.65,-13.23,3.00,-5.00,78.89,0.00,0.00,87.78
8895.00,-2.13,-13.77,3.00,-5.00,78.89,0.00,0.00,87.78
