time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1874.00,-27.92,-0.47,1.00,-1.00,40.00,0.00,0.00,40.00
1983.00,-27.92,-0.47,1.00,-1.00,40.00,0.00,0.00,40.00
2050.00,-27.92,0.29,1.00,-1.00,40.00,0.00,0.00,40.00
2115.00,-27.92,0.29,1.00,-1.00,40.00,0.00,0.00,40.00
2181.00,-27.92,-0.56,1.00,-1.00,40.00,0.00,0.00,40.00
2246.00,-27.92,-0.56,1.00,-1.00,40.00,0.00,0.00,40.00
2314.00,-27.92,-1.15,1.00,-1.00,40.00,0.00,0.00,40.00
2380.00,-27.92,-1.15,1.00,-1.00,40.00,0.00,0.00,40.00
2447.00,-27.16,-1.15,1.00,-1.00,40.00,0.00,0.00,40.00
2512.00,-27.16,-0.61,1.00,-1.00,40.00,0.00,0.00,40.00
2707.00,-27.16,-0.61,1.00,-4.00,40.00,0.00,0.00,47.00
2816.00,-27.16,-1.27,1.00,-4.00,40.00,0.00,0.00,47.00
2882.00,-27.16,-1.27,1.00,-4.00,40.00,0.00,0.00,47.00
2949.00,-26.50,-1.27,1.00,-4.00,40.00,0.00,0.00,47.00
3015.00,-26.50,-1.89,1.00,-4.00,40.00,0.00,0.00,47.00
3082.00,-26.50,-1.89,1.00,-4.00,40.00,0.00,0.00,47.00
3148.00,-25.97,-1.89,1.00,-4.00,40.00,0.00,0.00,47.00
3215.00,-25.97,-1.89,1.00,-4.00,40.00,0.00,0.00,47.00
3281.00,-25.97,-1.89,1.00,-4.00,40.00,0.00,0.00,47.00
3348.00,-25.97,-1.89,1.00,-4.00,40.00,0.00,0.00,47.00
3544.00,-25.97,-1.89,1.00,-4.00,40.00,0.00,0.00,47.00
3652.00,-25.42,-2.41,1.00,-4.00,40.00,0.00,0.00,47.00
3719.00,-25.42,-2.41,1.00,-4.00,40.00,0.00,0.00,47.00
3785.00,-24.85,-2.97,1.00,-4.00,40.00,0.00,0.00,47.00
3852.00,-24.85,-2.97,1.00,-4.00,40.00,0.00,0.00,47.00
3918.00,-24.85,-2.97,1.00,-4.00,40.00,0.00,0.00,47.00
3985.00,-24.85,-2.97,1.00,-4.00,40.00,0.00,0.00,47.00
4051.00,-24.85,-2.97,1.00,-4.00,40.00,0.00,0.00,47.00
4118.00,-24.85,-2.97,1.00,-4.00,40.00,0.00,0.00,47.00
4185.00,-24.85,-2.97,1.00,-4.00,40.00,0.00,0.00,47.00
4378.00,-24.11,-3.71,3.00,-6.00,44.67,0.00,0.00,51.67
4487.00,-24.11,-3.71,3.00,-6.00,44.67,0.00,0.00,51.67
4553.00,-24.11,-3.71,3.00,-6.00,44.67,0.00,0.00,51.67
4620.00,-23.50,-4.62,3.00,-6.00,44.67,0.00,0.00,51.67
4686.00,-23.50,-4.62,3.00,-6.00,44.67,0.00,0.00,51.67
4753.00,-23.50,-3.51,3.00,-6.00,44.67,0.00,0.00,51.67
4819.00,-23.50,-3.51,3.00,-6.00,44.67,0.00,0.00,51.67
4886.00,-23.50,-4.36,3.00,-6.00,44.67,0.00,0.00,51.67
4953.00,-23.50,-4.36,3.00,-6.00,44.67,0.00,0.00,51.67
5019.00,-22.87,-5.26,3.00,-6.00,44.67,0.00,0.00,51.67
5215.00,-22.87,-5.81,4.00,-4.00,47.00,0.00,0.00,47.00
5323.00,-21.99,-5.81,4.00,-4.00,47.00,0.00,0.00,47.00
5390.00,-21.99,-5.15,4.00,-4.00,47.00,0.00,0.00,47.00
5456.00,-21.99,-5.15,4.00,-4.00,47.00,0.00,0.00,47.00
5523.00,-21.99,-5.15,4.00,-4.00,47.00,0.00,0.00,47.00
5590.00,-21.99,-5.15,4.00,-4.00,47.00,0.00,0.00,47.00
5656.00,-21.99,-5.15,4.00,-4.00,47.00,0.00,0.00,47.00
5723.00,-21.99,-6.07,4.00,-4.00,47.00,0.00,0.00,47.00
5789.00,-21.36,-6.07,4.00,-4.00,47.00,0.00,0.00,47.00
5856.00,-21.36,-6.07,4.00,-4.00,47.00,0.00,0.00,47.00
6050.00,-21.36,-6.07,4.00,-1.00,47.00,0.00,0.00,40.00
6159.00,-21.36,-6.07,4.00,-1.00,47.00,0.00,0.00,40.00
6225.00,-20.84,-6.07,4.00,-1.00,47.00,0.00,0.00,40.00
6292.00,-20.84,-6.07,4.00,-1.00,47.00,0.00,0.00,40.00
6359.00,-20.84,-6.07,4.00,-1.00,47.00,0.00,0.00,40.00
6425.00,-20.84,-6.63,4.00,-1.00,47.00,0.00,0.00,40.00
6492.00,-20.84,-6.63,4.00,-1.00,47.00,0.00,0.00,40.00
6558.00,-20.20,-7.30,4.00,-1.00,47.00,0.00,0.00,40.00
6625.00,-20.20,-7.80,4.00,-1.00,47.00,0.00,0.00,40.00
6691.00,-19.57,-7.25,4.00,-1.00,47.00,0.00,0.00,40.00
6885.00,-19.57,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
6992.00,-19.57,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7058.00,-19.57,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7123.00,-19.57,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7189.00,-18.99,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7255.00,-18.99,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7320.00,-18.99,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7386.00,-18.99,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7451.00,-18.99,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7517.00,-18.27,-6.37,2.00,2.00,42.33,0.00,42.33,0.00
7710.00,-18.27,-6.37,-1.00,3.00,0.00,45.00,44.67,0.00
7819.00,-18.27,-5.84,-1.00,3.00,0.00,45.00,44.67,0.00
7885.00,-18.27,-4.86,-1.00,3.00,0.00,45.00,44.67,0.00
7952.00,-18.27,-4.86,-1.00,3.00,0.00,45.00,44.67,0.00
8018.00,-18.27,-4.86,-1.00,3.00,0.00,45.00,44.67,0.00
8085.00,-18.96,-4.86,-1.00,3.00,0.00,45.00,44.67,0.00
8152.00,-18.96,-4.86,-1.00,3.00,0.00,45.00,44.67,0.00
8218.00,-18.96,-3.98,-1.00,3.00,0.00,45.00,44.67,0.00
8285.00,-18.96,-3.98,-1.00,3.00,0.00,45.00,44.67,0.00
8351.00,-19.57,-3.98,-1.00,3.00,0.00,45.00,44.67,0.00
8547.00,-19.57,-2.75,-3.00,4.00,0.00,49.44,47.00,0.00
8655.00,-20.14,-1.95,-3.00,4.00,0.00,49.44,47.00,0.00
8722.00,-20.14,-1.95,-3.00,4.00,0.00,49.44,47.00,0.00
8788.00,-20.99,-3.00,-3.00,4.00,0.00,49.44,47.00,0.00
8855.00,-20.99,-3.00,-3.00,4.00,0.00,49.44,47.00,0.00
8922.00,-20.99,-2.40,-3.00,4.00,0.00,49.44,47.00,0.00
8988.00,-20.99,-2.40,-3.00,4.00,0.00,49.44,47.00,0.00
9055.00,-21.60,-2.40,-3.00,4.00,0.00,49.44,47.00,0.00
9121.00,-21.60,-1.36,-3.00,4.00,0.00,49.44,47.00,0.00
9188.00,-21.60,-0.67,-3.00,4.00,0.00,49.44,47.00,0.00
9382.00,-22.12,-0.67,-1.00,4.00,0.00,45.00,47.00,0.00
9491.00,-22.12,-0.67,-1.00,4.00,0.00,45.00,47.00,0.00
9558.00,-23.02,-1.20,-1.00,4.00,0.00,45.00,47.00,0.00
9624.00,-23.02,-1.20,-1.00,4.00,0.00,45.00,47.00,0.00
9691.00,-23.53,-0.39,-1.00,4.00,0.00,45.00,47.00,0.00
9757.00,-23.53,-0.39,-1.00,4.00,0.00,45.00,47.00,0.00
9824.00,-23.53,-0.39,-1.00,4.00,0.00,45.00,47.00,0.00
9890.00,-23.53,0.25,-1.00,4.00,0.00,45.00,47.00,0.00
9956.00,-23.53,1.27,-1.00,4.00,0.00,45.00,47.00,0.00
10021.00,-24.14,1.27,-1.00,4.00,0.00,45.00,47.00,0.00
10216.00,-24.14,0.45,1.00,3.00,40.00,0.00,44.67,0.00
10323.00,-24.81,1.02,1.00,3.00,40.00,0.00,44.67,0.00
10389.00,-24.81,2.00,1.00,3.00,40.00,0.00,44.67,0.00
10455.00,-24.81,2.00,1.00,3.00,40.00,0.00,44.67,0.00
10520.00,-24.81,1.49,1.00,3.00,40.00,0.00,44.67,0.00
10586.00,-24.81,1.49,1.00,3.00,40.00,0.00,44.67,0.00
10651.00,-24.81,1.49,1.00,3.00,40.00,0.00,44.67,0.00
10717.00,-24.26,1.49,1.00,3.00,40.00,0.00,44.67,0.00
