time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1793.00,-24.96,1.14,1.00,0.00,70.00,0.00,0.00,0.00
1898.00,-24.96,1.14,1.00,0.00,70.00,0.00,0.00,0.00
1961.00,-24.34,1.14,1.00,0.00,70.00,0.00,0.00,0.00
2025.00,-24.34,1.14,1.00,0.00,70.00,0.00,0.00,0.00
2088.00,-23.67,1.14,1.00,0.00,70.00,0.00,0.00,0.00
2152.00,-23.67,1.14,1.00,0.00,70.00,0.00,0.00,0.00
2215.00,-23.16,1.14,1.00,0.00,70.00,0.00,0.00,0.00
2279.00,-23.16,1.14,1.00,0.00,70.00,0.00,0.00,0.00
2342.00,-23.16,1.14,1.00,0.00,70.00,0.00,0.00,0.00
2406.00,-22.34,1.14,1.00,0.00,70.00,0.00,0.00,0.00
2597.00,-22.34,1.14,2.00,-1.00,74.44,0.00,0.00,70.00
2704.00,-21.54,1.14,2.00,-1.00,74.44,0.00,0.00,70.00
2769.00,-20.96,1.14,2.00,-1.00,74.44,0.00,0.00,70.00
2835.00,-20.96,1.14,2.00,-1.00,74.44,0.00,0.00,70.00
2900.00,-20.44,1.65,2.00,-1.00,74.44,0.00,0.00,70.00
2966.00,-20.44,1.65,2.00,-1.00,74.44,0.00,0.00,70.00
3032.00,-19.91,0.47,2.00,-1.00,74.44,0.00,0.00,70.00
3097.00,-19.91,0.47,2.00,-1.00,74.44,0.00,0.00,70.00
3163.00,-19.91,0.47,2.00,-1.00,74.44,0.00,0.00,70.00
3228.00,-19.91,-0.30,2.00,-1.00,74.44,0.00,0.00,70.00
3424.00,-19.38,-0.30,2.00,-1.00,74.44,0.00,0.00,70.00
3532.00,-18.87,-0.30,2.00,-1.00,74.44,0.00,0.00,70.00
3599.00,-18.14,0.39,2.00,-1.00,74.44,0.00,0.00,70.00
3664.00,-17.58,0.39,2.00,-1.00,74.44,0.00,0.00,70.00
3730.00,-17.58,-0.72,2.00,-1.00,74.44,0.00,0.00,70.00
3796.00,-16.84,-0.72,2.00,-1.00,74.44,0.00,0.00,70.00
3863.00,-16.84,-0.72,2.00,-1.00,74.44,0.00,0.00,70.00
3930.00,-16.84,-1.36,2.00,-1.00,74.44,0.00,0.00,70.00
3996.00,-16.84,-1.36,2.00,-1.00,74.44,0.00,0.00,70.00
4063.00,-16.28,-1.36,2.00,-1.00,74.44,0.00,0.00,70.00
4258.00,-16.28,-1.36,2.00,-1.00,74.44,0.00,0.00,70.00
4366.00,-15.45,-1.36,2.00,-1.00,74.44,0.00,0.00,70.00
4432.00,-15.45,-2.04,2.00,-1.00,74.44,0.00,0.00,70.00
4499.00,-14.38,-2.04,2.00,-1.00,74.44,0.00,0.00,70.00
4566.00,-13.87,-2.04,2.00,-1.00,74.44,0.00,0.00,70.00
4632.00,-13.87,-2.81,2.00,-1.00,74.44,0.00,0.00,70.00
4699.00,-13.87,-3.33,2.00,-1.00,74.44,0.00,0.00,70.00
4765.00,-13.23,-3.33,2.00,-1.00,74.44,0.00,0.00,70.00
4832.00,-13.23,-2.80,2.00,-1.00,74.44,0.00,0.00,70.00
4898.00,-12.60,-2.80,2.00,-1.00,74.44,0.00,0.00,70.00
5095.00,-12.60,-2.80,2.00,-1.00,74.44,0.00,0.00,70.00
5203.00,-11.56,-3.92,2.00,-1.00,74.44,0.00,0.00,70.00
5270.00,-11.00,-3.92,2.00,-1.00,74.44,0.00,0.00,70.00
5337.00,-11.00,-3.92,2.00,-1.00,74.44,0.00,0.00,70.00
5403.00,-10.25,-4.90,2.00,-1.00,74.44,0.00,0.00,70.00
5470.00,-9.69,-5.53,2.00,-1.00,74.44,0.00,0.00,70.00
5535.00,-9.17,-4.91,2.00,-1.00,74.44,0.00,0.00,70.00
5601.00,-9.17,-4.91,2.00,-1.00,74.44,0.00,0.00,70.00
5666.00,-9.17,-4.91,2.00,-1.00,74.44,0.00,0.00,70.00
5732.00,-8.36,-5.80,2.00,-1.00,74.44,0.00,0.00,70.00
5925.00,-7.74,-5.80,2.00,-1.00,74.44,0.00,0.00,70.00
6032.00,-6.90,-6.36,2.00,-1.00,74.44,0.00,0.00,70.00
