time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
2365.00,-8.51,-23.22,0.00,0.00,0.00,0.00,0.00,0.00
1879.00,-6.98,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
1984.00,-7.95,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2048.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2110.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2173.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2237.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2300.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2364.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2427.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2491.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2683.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2789.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2852.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2916.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
2979.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3043.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3105.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3169.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3232.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3296.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3486.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3592.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3655.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3719.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3782.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3846.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3909.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
3972.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
4035.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
4099.00,-8.59,-23.11,0.00,0.00,0.00,0.00,0.00,0.00
4290.00,-8.59,-23.11,1.00,0.00,20.00,0.00,0.00,0.00
4397.00,-8.59,-23.11,1.00,0.00,20.00,0.00,0.00,0.00
4461.00,-8.59,-23.11,1.00,0.00,20.00,0.00,0.00,0.00
4526.00,-8.59,-23.82,1.00,0.00,20.00,0.00,0.00,0.00
4590.00,-8.59,-23.82,1.00,0.00,20.00,0.00,0.00,0.00
4655.00,-7.75,-23.82,1.00,0.00,20.00,0.00,0.00,0.00
4719.00,-7.75,-23.82,1.00,0.00,20.00,0.00,0.00,0.00
4784.00,-7.75,-23.82,1.00,0.00,20.00,0.00,0.00,0.00
4848.00,-7.75,-23.22,1.00,0.00,20.00,0.00,0.00,0.00
4913.00,-7.05,-23.22,1.00,0.00,20.00,0.00,0.00,0.00
5104.00,-7.05,-23.22,1.00,-1.00,20.00,0.00,0.00,19.00
5213.00,-6.19,-23.22,1.00,-1.00,20.00,0.00,0.00,19.00
5279.00,-6.19,-23.22,1.00,-1.00,20.00,0.00,0.00,19.00
5346.00,-5.02,-23.89,1.00,-1.00,20.00,0.00,0.00,19.00
5412.00,-3.99,-23.89,1.00,-1.00,20.00,0.00,0.00,19.00
5479.00,-3.99,-23.89,1.00,-1.00,20.00,0.00,0.00,19.00
5545.00,-4.50,-23.89,1.00,-1.00,20.00,0.00,0.00,19.00
5612.00,-4.50,-23.89,1.00,-1.00,20.00,0.00,0.00,19.00
5679.00,-4.50,-24.96,1.00,-1.00,20.00,0.00,0.00,19.00
5745.00,-3.76,-25.54,1.00,-1.00,20.00,0.00,0.00,19.00
5941.00,-3.76,-25.54,2.00,0.00,21.11,0.00,0.00,0.00
6047.00,-3.76,-25.54,2.00,0.00,21.11,0.00,0.00,0.00
6112.00,-3.76,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
6176.00,-3.76,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
6241.00,-3.76,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
6305.00,-3.76,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
6369.00,-3.76,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
6433.00,-2.65,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
6498.00,-1.60,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
6562.00,-0.70,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
6754.00,0.07,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
6859.00,0.07,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
6923.00,0.07,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
6986.00,0.07,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
7050.00,0.07,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
7113.00,0.07,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
7177.00,0.07,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
7240.00,1.13,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
7304.00,2.99,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
7366.00,3.67,-26.27,1.00,0.00,20.00,0.00,0.00,0.00
7558.00,3.67,-26.27,2.00,0.00,21.11,0.00,0.00,0.00
7663.00,3.67,-27.02,2.00,0.00,21.11,0.00,0.00,0.00
7727.00,3.67,-27.02,2.00,0.00,21.11,0.00,0.00,0.00
7790.00,3.67,-27.02,2.00,0.00,21.11,0.00,0.00,0.00
7854.00,3.67,-27.02,2.00,0.00,21.11,0.00,0.00,0.00
7917.00,4.69,-27.02,2.00,0.00,21.11,0.00,0.00,0.00
7981.00,5.37,-26.47,2.00,0.00,21.11,0.00,0.00,0.00
8044.00,6.85,-26.47,2.00,0.00,21.11,0.00,0.00,0.00
8108.00,8.65,-26.47,2.00,0.00,21.11,0.00,0.00,0.00
8171.00,8.65,-27.07,2.00,0.00,21.11,0.00,0.00,0.00
