time,theta_x,theta_y,pwm_px,pwm_nx,pwm_py,pwm_ny,pwm_px_raw,pwm_nx_raw,pwm_py_raw,pwm_ny_raw
1471.00,-25.00,-8.94,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
1587.00,-25.00,-8.94,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
1653.00,-25.91,-8.94,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
1720.00,-26.61,-8.94,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
1786.00,-26.61,-8.30,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
1853.00,-27.36,-8.30,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
1920.00,-27.36,-8.30,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
1986.00,-28.29,-7.70,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
2053.00,-28.29,-7.70,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
2119.00,-29.01,-6.88,0.00,5.00,2.00,0.00,0.00,43.00,34.00,0.00
2187.00,-29.01,-6.88,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2251.00,-29.64,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2317.00,-30.45,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2382.00,-30.98,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2448.00,-30.30,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2513.00,-28.61,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2579.00,-27.02,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2644.00,-27.02,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2710.00,-27.94,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2776.00,-27.94,-6.24,2.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00
2842.00,-27.94,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2906.00,-27.94,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2970.00,-27.94,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3035.00,-26.96,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3099.00,-26.96,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3164.00,-26.96,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3228.00,-26.96,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3293.00,-26.96,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3357.00,-26.96,-6.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3422.00,-26.96,-6.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3486.00,-26.96,-6.81,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
3553.00,-26.96,-6.81,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
3619.00,-26.96,-6.81,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
3686.00,-26.96,-6.81,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
3752.00,-26.96,-6.81,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
3819.00,-26.96,-6.81,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
3886.00,-26.96,-7.62,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
3952.00,-26.96,-7.62,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
4019.00,-26.96,-6.86,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
4085.00,-26.35,-6.86,4.00,0.00,0.00,1.00,35.00,0.00,0.00,27.00
4152.00,-26.35,-6.86,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4218.00,-26.35,-6.86,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4285.00,-26.93,-6.86,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4352.00,-27.83,-6.21,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4418.00,-28.84,-5.37,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4485.00,-28.84,-5.37,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4551.00,-28.84,-5.37,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4618.00,-30.00,-4.57,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4684.00,-31.38,-4.57,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4751.00,-32.61,-4.57,0.00,9.00,5.00,0.00,0.00,54.00,43.00,0.00
4817.00,-33.84,-5.18,0.00,8.00,0.00,6.00,0.00,51.00,0.00,39.00
