Time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1879.00,-1.50,-24.84,1.00,1.00,20.00,0.00,21.00,0.00
1986.00,-2.09,-24.84,1.00,1.00,20.00,0.00,21.00,0.00
2052.00,-2.09,-24.84,1.00,1.00,20.00,0.00,21.00,0.00
2117.00,-1.53,-24.84,1.00,1.00,20.00,0.00,21.00,0.00
2183.00,-0.94,-24.84,1.00,1.00,20.00,0.00,21.00,0.00
2248.00,-0.94,-24.84,1.00,1.00,20.00,0.00,21.00,0.00
2314.00,-0.94,-24.09,1.00,1.00,20.00,0.00,21.00,0.00
2379.00,-0.94,-24.09,1.00,1.00,20.00,0.00,21.00,0.00
2445.00,-0.94,-24.09,1.00,1.00,20.00,0.00,21.00,0.00
2509.00,-0.34,-24.09,1.00,1.00,20.00,0.00,21.00,0.00
2701.00,0.74,-24.09,1.00,1.00,20.00,0.00,21.00,0.00
2807.00,0.20,-23.39,1.00,1.00,20.00,0.00,21.00,0.00
2872.00,-1.02,-23.39,1.00,1.00,20.00,0.00,21.00,0.00
2937.00,-1.02,-22.66,1.00,1.00,20.00,0.00,21.00,0.00
3003.00,0.59,-21.83,1.00,1.00,20.00,0.00,21.00,0.00
3067.00,1.88,-21.83,1.00,1.00,20.00,0.00,21.00,0.00
3132.00,1.88,-21.83,1.00,1.00,20.00,0.00,21.00,0.00
3196.00,0.84,-21.83,1.00,1.00,20.00,0.00,21.00,0.00
3261.00,0.84,-21.83,1.00,1.00,20.00,0.00,21.00,0.00
3325.00,0.84,-21.83,1.00,1.00,20.00,0.00,21.00,0.00
3515.00,1.40,-21.83,1.00,1.00,20.00,0.00,21.00,0.00
3621.00,1.40,-21.83,1.00,1.00,20.00,0.00,21.00,0.00
3686.00,1.40,-21.00,1.00,1.00,20.00,0.00,21.00,0.00
3750.00,1.40,-20.49,1.00,1.00,20.00,0.00,21.00,0.00
3815.00,1.40,-20.49,1.00,1.00,20.00,0.00,21.00,0.00
3879.00,2.59,-20.49,1.00,1.00,20.00,0.00,21.00,0.00
3944.00,2.59,-20.49,1.00,1.00,20.00,0.00,21.00,0.00
4008.00,2.59,-19.71,1.00,1.00,20.00,0.00,21.00,0.00
4073.00,2.59,-19.06,1.00,1.00,20.00,0.00,21.00,0.00
4137.00,1.88,-19.06,1.00,1.00,20.00,0.00,21.00,0.00
