Time,theta_x,theta_y,x_throttle,y_throttle,pwm_px_raw,pwm_nx_raw,pwm_py_raw,pwm_ny_raw
1878.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
1983.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2046.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2109.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2172.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2236.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2299.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2363.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2426.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2490.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2682.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2788.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2851.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2915.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
2978.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3041.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3104.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3168.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3231.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3295.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3485.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3591.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3654.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3718.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3781.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3845.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3907.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
3971.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
4034.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
4098.00,-4.94,-10.76,0.00,0.00,0.00,0.00,0.00,0.00
4289.00,-4.94,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4396.00,-4.94,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4460.00,-4.94,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4525.00,-4.24,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4589.00,-4.24,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4654.00,-3.67,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4718.00,-3.67,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4783.00,-3.67,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4847.00,-3.05,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
4912.00,-3.05,-10.76,1.00,0.00,20.00,0.00,0.00,0.00
5103.00,-2.47,-10.76,1.00,-1.00,20.00,0.00,0.00,19.00
5212.00,-1.93,-10.76,1.00,-1.00,20.00,0.00,0.00,19.00
5278.00,-1.28,-10.76,1.00,-1.00,20.00,0.00,0.00,19.00
5345.00,-1.28,-10.76,1.00,-1.00,20.00,0.00,0.00,19.00
5411.00,-0.67,-11.48,1.00,-1.00,20.00,0.00,0.00,19.00
5478.00,-0.67,-11.48,1.00,-1.00,20.00,0.00,0.00,19.00
5544.00,-0.67,-12.01,1.00,-1.00,20.00,0.00,0.00,19.00
5611.00,0.84,-12.01,1.00,-1.00,20.00,0.00,0.00,19.00
5677.00,1.36,-12.63,1.00,-1.00,20.00,0.00,0.00,19.00
5742.00,1.36,-12.63,1.00,-1.00,20.00,0.00,0.00,19.00
5936.00,1.36,-13.36,2.00,0.00,21.11,0.00,0.00,0.00
6041.00,2.20,-14.08,2.00,0.00,21.11,0.00,0.00,0.00
6104.00,3.50,-14.60,2.00,0.00,21.11,0.00,0.00,0.00
6167.00,4.61,-14.60,2.00,0.00,21.11,0.00,0.00,0.00
6231.00,5.29,-14.60,2.00,0.00,21.11,0.00,0.00,0.00
6294.00,5.29,-14.60,2.00,0.00,21.11,0.00,0.00,0.00
6358.00,5.29,-14.08,2.00,0.00,21.11,0.00,0.00,0.00
6421.00,6.04,-14.08,2.00,0.00,21.11,0.00,0.00,0.00
6484.00,6.58,-14.08,2.00,0.00,21.11,0.00,0.00,0.00
6548.00,7.28,-14.08,2.00,0.00,21.11,0.00,0.00,0.00
6738.00,8.86,-14.08,1.00,0.00,20.00,0.00,0.00,0.00
6844.00,10.56,-14.08,1.00,0.00,20.00,0.00,0.00,0.00
6908.00,11.74,-13.49,1.00,0.00,20.00,0.00,0.00,0.00
6973.00,12.59,-13.49,1.00,0.00,20.00,0.00,0.00,0.00
7036.00,13.41,-13.49,1.00,0.00,20.00,0.00,0.00,0.00
7101.00,14.20,-13.49,1.00,0.00,20.00,0.00,0.00,0.00
7165.00,15.15,-13.49,1.00,0.00,20.00,0.00,0.00,0.00
7230.00,16.49,-12.92,1.00,0.00,20.00,0.00,0.00,0.00
7294.00,17.78,-12.92,1.00,0.00,20.00,0.00,0.00,0.00
7359.00,18.92,-12.92,1.00,0.00,20.00,0.00,0.00,0.00
7553.00,20.83,-12.92,2.00,0.00,21.11,0.00,0.00,0.00
7659.00,24.08,-12.92,2.00,0.00,21.11,0.00,0.00,0.00
7724.00,27.15,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
7788.00,28.92,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
7853.00,30.44,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
7917.00,32.28,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
7982.00,34.15,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
8046.00,35.79,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
8111.00,37.04,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
8175.00,38.27,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
8368.00,40.57,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
8474.00,44.22,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
8539.00,47.47,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
8603.00,49.24,-12.17,2.00,0.00,21.11,0.00,0.00,0.00
8668.00,50.41,-11.41,2.00,0.00,21.11,0.00,0.00,0.00
8732.00,51.71,-11.41,2.00,0.00,21.11,0.00,0.00,0.00
8797.00,53.28,-11.41,2.00,0.00,21.11,0.00,0.00,0.00
8861.00,54.93,-11.41,2.00,0.00,21.11,0.00,0.00,0.00
8926.00,56.35,-11.41,2.00,0.00,21.11,0.00,0.00,0.00
8990.00,57.57,-11.41,2.00,0.00,21.11,0.00,0.00,0.00
9187.00,59.21,-11.41,1.00,-1.00,20.00,0.00,0.00,19.00
9294.00,61.85,-11.41,1.00,-1.00,20.00,0.00,0.00,19.00
9361.00,64.57,-11.41,1.00,-1.00,20.00,0.00,0.00,19.00
9427.00,66.21,-11.41,1.00,-1.00,20.00,0.00,0.00,19.00
9494.00,66.86,-11.93,1.00,-1.00,20.00,0.00,0.00,19.00
9561.00,66.86,-11.93,1.00,-1.00,20.00,0.00,0.00,19.00
9627.00,68.54,-12.52,1.00,-1.00,20.00,0.00,0.00,19.00
9694.00,70.00,-12.52,1.00,-1.00,20.00,0.00,0.00,19.00
9760.00,70.86,-13.08,1.00,-1.00,20.00,0.00,0.00,19.00
9827.00,71.51,-13.86,1.00,-1.00,20.00,0.00,0.00,19.00
10025.00,73.05,-14.62,1.00,-2.00,20.00,0.00,0.00,20.22
10135.00,75.51,-15.33,1.00,-2.00,20.00,0.00,0.00,20.22
10203.00,77.98,-16.03,1.00,-2.00,20.00,0.00,0.00,20.22
10270.00,79.49,-16.03,1.00,-2.00,20.00,0.00,0.00,20.22
10338.00,79.49,-16.78,1.00,-2.00,20.00,0.00,0.00,20.22
10405.00,80.27,-16.78,1.00,-2.00,20.00,0.00,0.00,20.22
10473.00,81.42,-17.89,1.00,-2.00,20.00,0.00,0.00,20.22
10541.00,82.48,-18.47,1.00,-2.00,20.00,0.00,0.00,20.22
10608.00,83.39,-18.47,1.00,-2.00,20.00,0.00,0.00,20.22
10676.00,84.33,-19.40,1.00,-2.00,20.00,0.00,0.00,20.22
10875.00,85.47,-20.16,1.00,-2.00,20.00,0.00,0.00,20.22
10985.00,87.12,-21.36,1.00,-2.00,20.00,0.00,0.00,20.22
11053.00,88.92,-22.67,1.00,-2.00,20.00,0.00,0.00,20.22
11120.00,90.55,-23.59,1.00,-2.00,20.00,0.00,0.00,20.22
11188.00,91.76,-24.28,1.00,-2.00,20.00,0.00,0.00,20.22
11255.00,92.48,-24.80,1.00,-2.00,20.00,0.00,0.00,20.22
11323.00,92.48,-25.38,1.00,-2.00,20.00,0.00,0.00,20.22
11390.00,93.60,-26.43,1.00,-2.00,20.00,0.00,0.00,20.22
11458.00,94.72,-27.56,1.00,-2.00,20.00,0.00,0.00,20.22
11526.00,95.70,-28.37,1.00,-2.00,20.00,0.00,0.00,20.22
11725.00,96.87,-29.16,1.00,-1.00,20.00,0.00,0.00,19.00
11835.00,98.81,-30.52,1.00,-1.00,20.00,0.00,0.00,19.00
11902.00,100.35,-32.32,1.00,-1.00,20.00,0.00,0.00,19.00
32049.00,84.77,-29.80,0.00,0.00,0.00,0.00,0.00,0.00
32155.00,46.34,-21.12,0.00,0.00,0.00,0.00,0.00,0.00
32220.00,18.83,-14.61,0.00,0.00,0.00,0.00,0.00,0.00
32284.00,16.17,-13.92,0.00,0.00,0.00,0.00,0.00,0.00
32348.00,20.44,-14.94,0.00,0.00,0.00,0.00,0.00,0.00
32412.00,22.43,-15.48,0.00,0.00,0.00,0.00,0.00,0.00
32477.00,22.43,-15.48,0.00,0.00,0.00,0.00,0.00,0.00
32541.00,21.90,-15.48,0.00,0.00,0.00,0.00,0.00,0.00
32606.00,21.90,-15.48,0.00,0.00,0.00,0.00,0.00,0.00
32670.00,21.90,-15.48,0.00,0.00,0.00,0.00,0.00,0.00
32868.00,21.90,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
32976.00,21.90,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33043.00,21.90,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33110.00,21.26,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33176.00,21.26,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33243.00,21.26,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33309.00,21.26,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33376.00,20.40,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33442.00,20.40,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33509.00,19.88,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33710.00,19.88,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33818.00,19.22,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33885.00,19.22,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
33951.00,19.22,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
34018.00,19.22,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
34084.00,18.21,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
34151.00,18.21,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
34217.00,17.53,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
34284.00,17.53,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
34351.00,17.53,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
34549.00,17.53,-15.48,-1.00,0.00,0.00,20.00,0.00,0.00
34658.00,16.31,-14.98,-1.00,0.00,0.00,20.00,0.00,0.00
34724.00,15.42,-14.98,-1.00,0.00,0.00,20.00,0.00,0.00
34791.00,15.42,-14.98,-1.00,0.00,0.00,20.00,0.00,0.00
34857.00,14.71,-14.98,-1.00,0.00,0.00,20.00,0.00,0.00
34924.00,14.71,-14.98,-1.00,0.00,0.00,20.00,0.00,0.00
34991.00,14.02,-14.98,-1.00,0.00,0.00,20.00,0.00,0.00
35057.00,14.02,-14.98,-1.00,0.00,0.00,20.00,0.00,0.00
35124.00,13.38,-15.51,-1.00,0.00,0.00,20.00,0.00,0.00
35190.00,12.70,-15.51,-1.00,0.00,0.00,20.00,0.00,0.00
35391.00,12.08,-15.51,-1.00,-1.00,0.00,20.00,0.00,19.00
35502.00,11.43,-15.51,-1.00,-1.00,0.00,20.00,0.00,19.00
35570.00,10.75,-15.51,-1.00,-1.00,0.00,20.00,0.00,19.00
35639.00,10.75,-15.51,-1.00,-1.00,0.00,20.00,0.00,19.00
35707.00,10.12,-16.09,-1.00,-1.00,0.00,20.00,0.00,19.00
35776.00,10.12,-16.68,-1.00,-1.00,0.00,20.00,0.00,19.00
35845.00,9.47,-17.34,-1.00,-1.00,0.00,20.00,0.00,19.00
35912.00,9.47,-17.34,-1.00,-1.00,0.00,20.00,0.00,19.00
35980.00,8.79,-18.10,-1.00,-1.00,0.00,20.00,0.00,19.00
36047.00,7.93,-18.10,-1.00,-1.00,0.00,20.00,0.00,19.00
36250.00,7.03,-18.97,-1.00,-1.00,0.00,20.00,0.00,19.00
36360.00,6.05,-19.57,-1.00,-1.00,0.00,20.00,0.00,19.00
36427.00,5.00,-20.26,-1.00,-1.00,0.00,20.00,0.00,19.00
36495.00,4.18,-20.81,-1.00,-1.00,0.00,20.00,0.00,19.00
36562.00,3.48,-21.38,-1.00,-1.00,0.00,20.00,0.00,19.00
36630.00,2.79,-22.02,-1.00,-1.00,0.00,20.00,0.00,19.00
36698.00,2.07,-22.67,-1.00,-1.00,0.00,20.00,0.00,19.00
36765.00,1.26,-22.67,-1.00,-1.00,0.00,20.00,0.00,19.00
36833.00,0.46,-22.67,-1.00,-1.00,0.00,20.00,0.00,19.00
36900.00,-0.29,-23.56,-1.00,-1.00,0.00,20.00,0.00,19.00
37101.00,-1.56,-24.38,-1.00,-2.00,0.00,20.00,0.00,20.22
37212.00,-3.61,-25.69,-1.00,-2.00,0.00,20.00,0.00,20.22
37280.00,-5.40,-26.98,-1.00,-2.00,0.00,20.00,0.00,20.22
37349.00,-6.56,-26.98,-1.00,-2.00,0.00,20.00,0.00,20.22
