Time,theta_x,theta_y,PX,NX,PY,NY,PX_raw,NX_raw,PY_raw,NY_raw
1402.00,0.65,-18.00,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1517.00,0.65,-18.00,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1583.00,0.65,-18.79,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1648.00,0.07,-18.79,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1714.00,0.07,-19.30,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1779.00,0.07,-19.30,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1845.00,0.07,-19.98,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1910.00,0.07,-19.98,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1976.00,0.66,-20.61,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
2041.00,0.66,-20.61,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
2108.00,0.66,-21.69,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2171.00,0.66,-21.69,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2236.00,0.66,-21.69,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2300.00,0.66,-21.69,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2365.00,0.66,-21.69,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2429.00,0.66,-21.69,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2494.00,0.66,-21.69,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2558.00,0.66,-21.12,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2623.00,0.66,-21.12,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2688.00,0.66,-21.12,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2752.00,0.66,-21.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2816.00,0.66,-21.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2879.00,0.66,-21.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2942.00,0.66,-21.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3006.00,0.66,-21.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3069.00,0.66,-21.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3133.00,0.66,-21.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3196.00,0.66,-21.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3260.00,0.66,-21.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3322.00,0.66,-21.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3387.00,0.66,-21.16,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3451.00,0.66,-21.16,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3517.00,0.66,-21.16,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3582.00,0.66,-21.16,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3648.00,0.66,-21.16,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3714.00,0.66,-20.64,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3779.00,0.66,-20.64,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3845.00,0.66,-20.64,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3910.00,0.66,-20.64,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
3976.00,0.66,-20.64,4.00,0.00,0.00,1.00,23.00,0.00,0.00,19.00
4042.00,0.66,-20.64,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4107.00,0.66,-20.64,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4172.00,0.66,-20.64,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4238.00,0.66,-21.72,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4303.00,0.66,-22.42,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4369.00,0.66,-22.42,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4434.00,0.66,-23.13,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4500.00,0.66,-23.13,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4566.00,0.66,-23.13,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4631.00,0.66,-24.23,0.00,9.00,5.00,0.00,0.00,33.00,27.00,0.00
4698.00,1.18,-25.55,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
4762.00,1.18,-26.52,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
4828.00,1.18,-27.06,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
4893.00,1.18,-27.82,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
4959.00,1.79,-28.99,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
5024.00,1.79,-30.14,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
5090.00,1.79,-31.22,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
5155.00,1.79,-32.44,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
5221.00,1.79,-33.81,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
5286.00,2.45,-34.97,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
5352.00,2.45,-35.70,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5417.00,2.45,-37.12,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5483.00,3.01,-38.99,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5549.00,3.01,-38.99,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5614.00,3.01,-38.40,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5680.00,3.01,-38.40,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5745.00,3.01,-38.40,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5811.00,3.01,-38.40,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5876.00,3.01,-38.40,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5942.00,3.01,-37.68,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
6007.00,3.01,-37.68,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6073.00,3.01,-37.05,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6138.00,3.01,-37.05,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6204.00,3.01,-37.78,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6269.00,3.01,-38.31,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6335.00,3.01,-39.00,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
