Time,theta_x,theta_y,PWM_PX,PWM_NX,PWM_PY,PWM_NY,PWM_real_PX,PWM_real_NX,PWM_real_PY,PWM_real_NY
1495.00,-9.73,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1611.00,-9.73,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1678.00,-9.73,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1744.00,-9.73,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1811.00,-9.73,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1878.00,-10.30,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
1945.00,-10.30,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
2013.00,-10.30,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
2080.00,-10.30,-15.51,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
2148.00,-10.30,-14.98,0.00,5.00,2.00,0.00,0.00,27.00,22.00,0.00
2215.00,-10.30,-14.98,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2282.00,-10.30,-14.98,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2349.00,-10.30,-14.01,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2415.00,-10.30,-14.01,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2482.00,-10.30,-14.01,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2548.00,-10.30,-14.01,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2615.00,-10.30,-14.01,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2681.00,-10.30,-14.01,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2748.00,-10.30,-14.01,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
2814.00,-10.30,-14.01,2.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00
