time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1682.00,5.24,-6.64,0.00,1.00,0.00,0.00,15.00,0.00
1786.00,5.24,-4.87,0.00,1.00,0.00,0.00,15.00,0.00
1849.00,5.24,-3.53,0.00,1.00,0.00,0.00,15.00,0.00
1910.00,5.24,-2.93,0.00,1.00,0.00,0.00,15.00,0.00
1973.00,5.24,-2.93,0.00,1.00,0.00,0.00,15.00,0.00
2035.00,5.24,-3.80,0.00,1.00,0.00,0.00,15.00,0.00
2098.00,5.24,-3.80,0.00,1.00,0.00,0.00,15.00,0.00
2160.00,5.24,-3.80,0.00,1.00,0.00,0.00,15.00,0.00
2223.00,5.24,-3.80,0.00,1.00,0.00,0.00,15.00,0.00
2285.00,5.24,-3.80,0.00,1.00,0.00,0.00,15.00,0.00
2475.00,5.24,-2.45,-3.00,1.00,0.00,17.22,15.00,0.00
2581.00,5.24,-2.45,-3.00,1.00,0.00,17.22,15.00,0.00
2646.00,5.24,-3.48,-3.00,1.00,0.00,17.22,15.00,0.00
2709.00,5.24,-4.86,-3.00,1.00,0.00,17.22,15.00,0.00
2774.00,5.24,-4.29,-3.00,1.00,0.00,17.22,15.00,0.00
2838.00,5.24,-3.04,-3.00,1.00,0.00,17.22,15.00,0.00
2903.00,5.24,-3.04,-3.00,1.00,0.00,17.22,15.00,0.00
2967.00,5.24,-3.04,-3.00,1.00,0.00,17.22,15.00,0.00
3032.00,5.24,-3.04,-3.00,1.00,0.00,17.22,15.00,0.00
3096.00,5.24,-3.04,-3.00,1.00,0.00,17.22,15.00,0.00
3288.00,5.24,-1.87,0.00,1.00,0.00,0.00,15.00,0.00
3392.00,5.24,-1.37,0.00,1.00,0.00,0.00,15.00,0.00
3454.00,5.24,-2.42,0.00,1.00,0.00,0.00,15.00,0.00
3517.00,5.24,-3.15,0.00,1.00,0.00,0.00,15.00,0.00
3579.00,4.67,-3.15,0.00,1.00,0.00,0.00,15.00,0.00
3641.00,4.67,-2.40,0.00,1.00,0.00,0.00,15.00,0.00
3703.00,4.67,-2.40,0.00,1.00,0.00,0.00,15.00,0.00
3766.00,4.67,-2.40,0.00,1.00,0.00,0.00,15.00,0.00
3828.00,4.67,-2.40,0.00,1.00,0.00,0.00,15.00,0.00
3891.00,4.67,-3.19,0.00,1.00,0.00,0.00,15.00,0.00
4078.00,4.67,-2.09,0.00,1.00,0.00,0.00,15.00,0.00
4183.00,4.67,-1.15,0.00,1.00,0.00,0.00,15.00,0.00
4245.00,4.67,-1.15,0.00,1.00,0.00,0.00,15.00,0.00
4307.00,4.67,-1.15,0.00,1.00,0.00,0.00,15.00,0.00
4369.00,4.67,-1.15,0.00,1.00,0.00,0.00,15.00,0.00
4431.00,4.67,-1.15,0.00,1.00,0.00,0.00,15.00,0.00
4494.00,4.67,-1.15,0.00,1.00,0.00,0.00,15.00,0.00
4556.00,4.67,-1.15,0.00,1.00,0.00,0.00,15.00,0.00
4619.00,4.67,-1.89,0.00,1.00,0.00,0.00,15.00,0.00
4681.00,4.67,-2.67,0.00,1.00,0.00,0.00,15.00,0.00
4870.00,4.67,-2.11,0.00,4.00,0.00,0.00,18.33,0.00
