time,theta_x,theta_y,pwm_px,pwm_nx,pwm_py,pwm_ny,pwm_px_raw,pwm_nx_raw,pwm_py_raw,pwm_ny_raw
1230.00,0.92,2.48,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1342.00,1.60,3.62,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1404.00,1.60,4.26,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1467.00,1.60,5.09,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1529.00,1.60,5.75,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1591.00,1.60,5.75,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1653.00,1.60,4.62,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1716.00,2.33,4.62,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1778.00,2.33,5.67,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1841.00,2.33,6.68,7.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00
1904.00,2.33,7.60,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
1966.00,2.33,7.06,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2028.00,3.00,5.99,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2091.00,3.00,5.99,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2153.00,3.00,5.99,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2215.00,3.00,6.52,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2278.00,3.00,5.75,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2340.00,3.00,4.68,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2403.00,3.00,5.37,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2465.00,3.00,6.80,0.00,0.00,8.00,0.00,0.00,0.00,23.00,0.00
2528.00,3.00,8.27,0.00,4.00,5.00,0.00,0.00,18.00,19.00,0.00
2590.00,3.00,9.52,0.00,4.00,5.00,0.00,0.00,18.00,19.00,0.00
2654.00,3.00,8.79,0.00,4.00,5.00,0.00,0.00,18.00,19.00,0.00
2717.00,3.00,7.39,0.00,4.00,5.00,0.00,0.00,18.00,19.00,0.00
2781.00,3.00,7.39,0.00,4.00,5.00,0.00,0.00,18.00,19.00,0.00
2844.00,3.00,9.15,0.00,4.00,5.00,0.00,0.00,18.00,19.00,0.00
