time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.054,0.054,4.3,-2.54,0.0,0.0,0.0,0.0
0.159,0.159,4.3,-2.54,0.0,0.0,0.0,0.0
0.318,0.318,4.3,-2.54,0.0,0.0,0.0,0.0
0.371,0.371,4.3,-2.54,0.0,0.0,0.0,0.0
0.424,0.424,4.3,-2.54,0.0,0.0,0.0,0.0
0.476,0.476,4.3,-2.54,0.0,0.0,0.0,0.0
0.53,0.53,4.3,-2.54,0.0,0.0,0.0,0.0
0.583,0.583,4.3,-2.54,0.0,0.0,0.0,0.0
0.636,0.636,4.3,-2.54,0.0,0.0,0.0,0.0
0.688,0.688,4.3,-2.54,0.0,0.0,0.0,0.0
0.742,0.742,4.3,-2.54,0.0,0.0,0.0,0.0
0.795,0.795,4.3,-2.54,0.0,0.0,0.0,0.0
0.847,0.847,4.3,-2.54,0.0,0.0,0.0,0.0
0.9,0.9,4.3,-2.54,0.0,0.0,0.0,0.0
0.954,0.954,4.3,-2.54,0.0,0.0,0.0,0.0
1.006,1.006,4.3,-2.54,0.0,0.0,0.0,0.0
1.059,1.059,4.3,-2.54,0.0,0.0,0.0,0.0
1.112,1.112,4.3,-2.54,0.0,0.0,0.0,0.0
1.166,1.166,4.3,-2.54,0.0,0.0,0.0,0.0
1.218,1.218,4.3,-2.54,0.0,0.0,0.0,0.0
1.271,1.271,4.3,-2.54,0.0,0.0,0.0,0.0
1.324,1.324,4.3,-2.54,0.0,0.0,0.0,0.0
1.377,1.377,4.3,-2.54,0.0,0.0,0.0,0.0
1.43,1.43,4.3,-2.54,0.0,0.0,0.0,0.0
1.483,1.483,4.3,-2.54,0.0,0.0,0.0,0.0
1.535,1.535,4.3,-2.54,0.0,0.0,0.0,0.0
1.589,1.589,4.3,-2.54,0.0,0.0,0.0,0.0
1.642,1.642,4.3,-2.54,0.0,0.0,0.0,0.0
1.694,1.694,4.3,-2.54,0.0,0.0,0.0,0.0
1.747,1.747,4.3,-2.54,0.0,0.0,0.0,0.0
1.8,1.8,4.3,-2.54,0.0,0.0,0.0,0.0
1.853,1.853,4.3,-2.54,0.0,0.0,0.0,0.0
1.906,1.906,4.3,-2.54,0.0,0.0,0.0,0.0
1.959,1.959,4.3,-2.54,0.0,0.0,0.0,0.0
2.012,2.012,4.3,-2.54,0.0,0.0,0.0,0.0
2.065,2.065,4.3,-2.54,0.0,0.0,0.0,0.0
2.118,2.118,4.3,-2.54,0.0,0.0,0.0,0.0
2.171,2.171,4.3,-2.54,0.0,0.0,0.0,0.0
2.223,2.223,4.3,-2.54,0.0,0.0,0.0,0.0
2.277,2.277,4.3,-2.54,0.0,0.0,0.0,0.0
2.33,2.33,4.3,-2.54,0.0,0.0,0.0,0.0
2.382,2.382,4.3,-2.54,0.0,0.0,0.0,0.0
2.435,2.435,4.3,-2.54,0.0,0.0,0.0,0.0
2.489,2.489,4.3,-2.54,0.0,0.0,0.0,0.0
2.541,2.541,4.3,-2.54,0.0,0.0,0.0,0.0
2.594,2.594,4.3,-2.54,0.0,0.0,0.0,0.0
2.647,2.647,4.3,-2.54,0.0,0.0,0.0,0.0
2.7,2.7,4.3,-2.54,0.0,0.0,0.0,0.0
2.753,2.753,4.3,-2.54,0.0,0.0,0.0,0.0
2.806,2.806,4.3,-2.54,0.0,0.0,0.0,0.0
2.859,2.859,4.3,-2.54,0.0,0.0,0.0,0.0
2.912,2.912,4.3,-2.54,0.0,0.0,0.0,0.0
2.965,2.965,4.3,-2.54,0.0,0.0,0.0,0.0
3.018,3.018,4.3,-2.54,0.0,0.0,0.0,0.0
3.07,3.07,4.3,-2.54,0.0,0.0,0.0,0.0
3.123,3.123,4.3,-2.54,0.0,0.0,0.0,0.0
3.177,3.177,4.3,-2.54,0.0,0.0,0.0,0.0
3.229,3.229,4.3,-2.54,0.0,0.0,0.0,0.0
3.282,3.282,4.3,-2.54,0.0,0.0,0.0,0.0
3.335,3.335,4.3,-2.54,0.0,0.0,0.0,0.0
3.388,3.388,4.3,-2.54,0.0,0.0,0.0,0.0
3.441,3.441,4.3,-2.54,0.0,0.0,0.0,0.0
3.494,3.494,4.3,-2.54,0.0,0.0,0.0,0.0
3.547,3.547,4.3,-2.54,0.0,0.0,0.0,0.0
3.6,3.6,4.3,-2.54,0.0,0.0,0.0,5.0
3.654,3.654,4.3,-2.54,0.0,0.0,0.0,5.0
3.707,3.707,4.3,-2.54,0.0,0.0,0.0,0.0
3.76,3.76,4.3,-2.54,0.0,0.0,0.0,5.0
3.828,3.828,4.3,-2.54,0.0,0.0,0.0,5.0
3.88,3.88,4.3,-2.54,0.0,0.0,0.0,5.0
3.936,3.936,4.3,-2.54,0.0,0.0,0.0,5.0
4.004,4.004,4.3,-2.54,0.0,0.0,0.0,5.0
4.06,4.06,4.3,-1.98,0.0,9.999999999999993,0.0,5.0
4.113,4.113,4.3,-1.98,0.0,0.0,0.0,5.0
4.172,4.172,4.3,-1.98,0.0,0.0,0.0,5.0
4.225,4.225,4.3,-3.09,0.0,-20.943396226415118,0.0,5.0
4.292,4.292,4.3,-3.65,0.0,-8.35820895522386,0.0,5.0
4.358,4.358,4.3,-1.61,0.0,30.909090909090985,0.0,5.0
4.417,4.417,4.3,0.52,0.0,36.101694915254136,0.0,5.0
4.47,4.47,4.3,-0.02,0.0,-10.188679245283032,0.0,5.0
4.525,4.525,4.3,-1.25,0.0,-22.363636363636118,0.0,5.0
4.579,4.579,4.3,-1.25,0.0,0.0,0.0,5.0
4.645,4.645,4.3,-1.25,0.0,0.0,0.0,5.0
4.703,4.703,4.3,-1.25,0.0,0.0,0.0,5.0
4.759,4.759,4.3,-1.25,0.0,0.0,0.0,5.0
4.811,4.811,4.3,-1.25,0.0,0.0,1.0,6.0
4.867,4.867,4.3,-1.25,0.0,0.0,1.0,6.0
4.947,4.947,4.3,-1.25,0.0,0.0,1.0,6.0
5.016,5.016,4.3,-0.5,0.0,10.869565217391312,1.0,6.0
5.097,5.097,4.3,-0.5,0.0,0.0,1.0,6.0
5.153,5.153,4.3,-0.5,0.0,0.0,1.0,6.0
5.206,5.206,4.3,-0.5,0.0,0.0,1.0,6.0
5.274,5.274,4.83,-0.5,7.794117647058871,0.0,1.0,6.0
5.339,5.339,4.83,-1.86,0.0,-20.9230769230768,1.0,6.0
5.394,5.394,4.83,-1.86,0.0,0.0,1.0,6.0
5.447,5.447,4.83,-0.33,0.0,28.867924528301923,1.0,6.0
5.515,5.515,4.83,2.23,0.0,37.647058823529626,1.0,6.0
5.568,5.568,4.83,2.23,0.0,0.0,1.0,6.0
5.622,5.622,4.83,0.35,0.0,-34.81481481481464,1.0,6.0
5.689,5.689,4.83,-0.17,0.0,-7.761194029850727,1.0,6.0
5.747,5.747,4.83,-0.17,0.0,0.0,1.0,6.0
5.801,5.801,4.83,-0.17,0.0,0.0,1.0,6.0
5.857,5.857,4.83,-0.17,0.0,0.0,1.0,6.0
5.91,5.91,4.83,0.37,0.0,10.188679245283032,1.0,6.0
