time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.052,0.052,-2.38,3.55,0.0,0.0,0.0,0.0
0.105,0.105,-2.38,3.55,0.0,0.0,0.0,0.0
0.16,0.16,-2.38,3.55,0.0,0.0,0.0,0.0
0.213,0.213,-2.38,3.55,0.0,0.0,0.0,0.0
0.266,0.266,-2.38,3.55,0.0,0.0,0.0,0.0
0.32,0.32,-2.38,3.55,0.0,0.0,0.0,0.0
0.373,0.373,-2.38,3.55,0.0,0.0,0.0,0.0
0.427,0.427,-2.38,3.55,0.0,0.0,0.0,0.0
0.485,0.485,-2.38,3.55,0.0,0.0,0.0,0.0
0.541,0.541,-2.38,3.55,0.0,0.0,0.0,0.0
0.597,0.597,-2.38,3.55,0.0,0.0,0.0,0.0
0.649,0.649,-2.38,3.55,0.0,0.0,0.0,0.0
0.702,0.702,-2.38,3.55,0.0,0.0,0.0,0.0
0.758,0.758,-2.38,3.55,0.0,0.0,0.0,0.0
0.812,0.812,-2.38,3.55,0.0,0.0,0.0,0.0
0.864,0.864,-2.38,3.55,0.0,0.0,0.0,0.0
0.918,0.918,-2.38,3.55,0.0,0.0,0.0,0.0
0.976,0.976,-2.38,3.55,0.0,0.0,0.0,0.0
1.032,1.032,-2.38,3.55,0.0,0.0,0.0,0.0
1.087,1.087,-2.38,3.55,0.0,0.0,0.0,0.0
1.141,1.141,-2.38,3.55,0.0,0.0,0.0,0.0
1.195,1.195,-2.38,3.55,0.0,0.0,0.0,0.0
1.249,1.249,-2.38,3.55,0.0,0.0,0.0,0.0
1.301,1.301,-2.38,3.55,0.0,0.0,0.0,0.0
1.356,1.356,-2.38,3.55,0.0,0.0,0.0,0.0
1.408,1.408,-2.38,3.55,0.0,0.0,0.0,0.0
1.461,1.461,-2.38,3.55,0.0,0.0,0.0,0.0
1.516,1.516,-2.38,3.55,0.0,0.0,0.0,0.0
1.57,1.57,-2.38,3.55,0.0,0.0,0.0,0.0
1.626,1.626,-2.38,3.55,0.0,0.0,0.0,0.0
1.678,1.678,-2.38,3.55,0.0,0.0,0.0,0.0
1.734,1.734,-2.38,3.55,0.0,0.0,0.0,0.0
1.787,1.787,-2.38,3.55,0.0,0.0,0.0,0.0
1.843,1.843,-2.38,3.55,0.0,0.0,0.0,0.0
1.895,1.895,-2.38,3.55,0.0,0.0,0.0,0.0
1.948,1.948,-2.38,3.55,0.0,0.0,0.0,0.0
2.004,2.004,-2.38,3.55,0.0,0.0,0.0,0.0
2.057,2.057,-2.38,3.55,0.0,0.0,0.0,0.0
2.11,2.11,-2.38,3.55,0.0,0.0,0.0,0.0
2.17,2.17,-2.38,3.55,0.0,0.0,0.0,0.0
2.223,2.223,-2.38,3.55,0.0,0.0,0.0,0.0
2.275,2.275,-2.38,3.55,0.0,0.0,0.0,0.0
2.329,2.329,-2.38,3.55,0.0,0.0,0.0,0.0
2.385,2.385,-2.38,3.55,0.0,0.0,0.0,0.0
2.437,2.437,-2.38,3.55,0.0,0.0,0.0,0.0
2.492,2.492,-2.38,3.55,0.0,0.0,0.0,0.0
2.544,2.544,-2.38,3.55,0.0,0.0,0.0,0.0
2.598,2.598,-2.38,3.55,0.0,0.0,0.0,0.0
2.651,2.651,-2.38,3.55,0.0,0.0,0.0,0.0
2.708,2.708,-2.38,3.55,0.0,0.0,0.0,0.0
2.76,2.76,-2.38,3.55,0.0,0.0,0.0,0.0
2.819,2.819,-2.38,3.55,0.0,0.0,0.0,0.0
2.875,2.875,-2.38,3.55,0.0,0.0,0.0,0.0
2.927,2.927,-2.38,3.55,0.0,0.0,0.0,0.0
2.982,2.982,-2.38,3.55,0.0,0.0,0.0,0.0
3.04,3.04,-2.38,3.55,0.0,0.0,0.0,0.0
3.092,3.092,-2.38,3.55,0.0,0.0,0.0,0.0
3.152,3.152,-2.38,3.55,0.0,0.0,0.0,0.0
3.205,3.205,-2.38,3.55,0.0,0.0,0.0,0.0
3.258,3.258,-2.38,3.55,0.0,0.0,0.0,0.0
3.31,3.31,-2.38,3.55,0.0,0.0,0.0,0.0
3.364,3.364,-2.38,3.55,0.0,0.0,0.0,0.0
3.418,3.418,-2.38,3.55,0.0,0.0,0.0,0.0
3.47,3.47,-2.38,3.55,0.0,0.0,0.0,0.0
3.523,3.523,-2.38,3.55,0.0,0.0,0.0,0.0
3.577,3.577,-2.38,3.55,0.0,0.0,0.0,0.0
3.629,3.629,-2.38,3.55,0.0,0.0,0.0,0.0
3.685,3.685,-2.38,3.55,0.0,0.0,0.0,0.0
3.741,3.741,-2.38,3.55,0.0,0.0,0.0,0.0
3.798,3.798,-2.38,3.55,0.0,0.0,0.0,0.0
3.851,3.851,-2.38,3.55,0.0,0.0,0.0,0.0
3.905,3.905,-2.38,3.55,0.0,0.0,0.0,0.0
3.963,3.963,-2.38,3.55,0.0,0.0,0.0,0.0
4.018,4.018,-2.38,3.55,0.0,0.0,0.0,0.0
4.075,4.075,-2.38,3.55,0.0,0.0,0.0,0.0
4.132,4.132,-2.38,3.55,0.0,0.0,0.0,0.0
4.184,4.184,-2.38,3.55,0.0,0.0,0.0,0.0
4.238,4.238,-2.38,3.55,0.0,0.0,0.0,0.0
4.291,4.291,-2.38,3.55,0.0,0.0,0.0,0.0
4.349,4.349,-2.38,3.55,0.0,0.0,0.0,0.0
4.403,4.403,-2.38,3.55,0.0,0.0,0.0,0.0
4.46,4.46,-2.38,3.55,0.0,0.0,0.0,0.0
4.513,4.513,-2.38,3.55,0.0,0.0,0.0,0.0
4.566,4.566,-2.38,2.64,0.0,-17.169811320754732,0.0,0.0
4.62,4.62,-1.66,1.89,13.333333333333266,-13.888888888888824,0.0,0.0
4.677,4.677,-0.9,0.81,13.33333333333345,-18.947368421052797,0.0,0.0
4.731,4.731,0.39,-0.17,23.88888888888877,-18.14814814814806,0.0,0.0
4.787,4.787,1.3,-0.17,16.249999999999986,0.0,0.0,0.0
4.84,4.84,1.3,-0.17,0.0,0.0,0.0,0.0
4.893,4.893,1.91,-0.17,11.509433962264163,0.0,0.0,0.0
4.946,4.946,1.91,-0.17,0.0,0.0,0.0,0.0
4.999,4.999,1.91,-0.17,0.0,0.0,0.0,0.0
5.053,5.053,1.91,-0.17,0.0,0.0,0.0,0.0
5.106,5.106,1.91,-0.17,0.0,0.0,0.0,0.0
5.159,5.159,1.91,-0.17,0.0,0.0,0.0,0.0
5.212,5.212,0.67,0.69,-23.396226415094365,16.226415094339643,0.0,0.0
5.265,5.265,-0.62,0.69,-24.339622641509465,0.0,0.0,0.0
5.318,5.318,-1.64,0.69,-19.245283018867948,0.0,0.0,0.0
5.375,5.375,-2.42,0.69,-13.684210526315697,0.0,0.0,0.0
5.427,5.427,-3.0,0.69,-11.15384615384624,0.0,0.0,0.0
5.48,5.48,-3.0,0.69,0.0,0.0,0.0,0.0
5.532,5.532,-3.0,0.69,0.0,0.0,0.0,0.0
5.586,5.586,-3.0,0.69,0.0,0.0,0.0,0.0
5.639,5.639,-3.0,0.69,0.0,0.0,0.0,0.0
5.692,5.692,-2.19,0.69,15.283018867924548,0.0,0.0,0.0
5.745,5.745,-2.19,0.69,0.0,0.0,0.0,0.0
5.798,5.798,-2.19,2.68,0.0,37.547169811320806,0.0,0.0
5.854,5.854,-2.19,4.06,0.0,24.64285714285711,0.0,0.0
5.906,5.906,-2.19,4.06,0.0,0.0,0.0,0.0
5.959,5.959,-2.19,2.65,0.0,-26.603773584905685,0.0,0.0
6.016,6.016,-2.19,2.65,0.0,0.0,0.0,0.0
6.069,6.069,-2.19,3.31,0.0,12.452830188679263,0.0,0.0
6.123,6.123,-2.19,3.84,0.0,9.814814814814762,0.0,0.0
6.18,6.18,-2.19,3.17,0.0,-11.754385964912384,0.0,0.0
6.233,6.233,-2.19,2.51,0.0,-12.452830188679263,0.0,0.0
6.285,6.285,-2.19,2.51,0.0,0.0,0.0,0.0
6.338,6.338,-2.19,3.55,0.0,19.622641509433986,0.0,0.0
6.392,6.392,-2.19,3.55,0.0,0.0,0.0,0.0
6.444,6.444,-2.19,2.93,0.0,-11.923076923077009,0.0,0.0
6.504,6.504,-2.19,2.93,0.0,0.0,0.0,0.0
6.556,6.556,-2.19,2.93,0.0,0.0,0.0,0.0
6.614,6.614,-2.19,3.44,0.0,8.793103448275884,0.0,0.0
6.672,6.672,-2.19,3.44,0.0,0.0,0.0,0.0
6.727,6.727,-2.19,2.73,0.0,-12.909090909090766,0.0,0.0
6.782,6.782,-2.19,2.73,0.0,0.0,0.0,0.0
6.84,6.84,-2.19,3.34,0.0,10.517241379310374,0.0,0.0
6.895,6.895,-2.19,3.34,0.0,0.0,0.0,0.0
6.949,6.949,-2.19,3.34,0.0,0.0,0.0,0.0
7.001,7.001,-2.19,3.34,0.0,0.0,0.0,0.0
7.059,7.059,-2.19,3.34,0.0,0.0,0.0,0.0
7.115,7.115,-2.19,3.34,0.0,0.0,0.0,0.0
7.169,7.169,-2.19,3.34,0.0,0.0,0.0,0.0
7.222,7.222,-2.19,2.81,0.0,-9.99999999999984,0.0,0.0
7.275,7.275,-2.19,2.81,0.0,0.0,0.0,0.0
7.328,7.328,-2.19,2.81,0.0,0.0,0.0,0.0
7.384,7.384,-2.19,2.81,0.0,0.0,0.0,0.0
7.437,7.437,-2.19,2.81,0.0,0.0,0.0,0.0
7.492,7.492,-2.19,2.81,0.0,0.0,0.0,0.0
7.551,7.551,-2.19,3.34,0.0,8.9830508474576,0.0,0.0
7.603,7.603,-2.19,3.34,0.0,0.0,0.0,0.0
7.657,7.657,-2.19,3.34,0.0,0.0,0.0,0.0
7.712,7.712,-2.19,3.34,0.0,0.0,0.0,0.0
7.764,7.764,-2.19,3.34,0.0,0.0,0.0,0.0
