time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.054,0.054,-7.77,-6.24,0.0,0.0,0.0,0.0
0.107,0.107,-7.77,-6.24,0.0,0.0,0.0,0.0
0.16,0.16,-7.77,-6.24,0.0,0.0,0.0,0.0
0.213,0.213,-7.77,-6.24,0.0,0.0,0.0,0.0
0.266,0.266,-7.77,-6.24,0.0,0.0,0.0,0.0
0.318,0.318,-7.77,-6.24,0.0,0.0,0.0,0.0
0.372,0.372,-7.77,-6.24,0.0,0.0,0.0,0.0
0.424,0.424,-7.77,-6.24,0.0,0.0,0.0,0.0
0.477,0.477,-7.77,-6.24,0.0,0.0,0.0,0.0
0.529,0.529,-7.77,-6.24,0.0,0.0,0.0,0.0
0.582,0.582,-7.77,-6.24,0.0,0.0,0.0,0.0
0.636,0.636,-7.77,-6.24,0.0,0.0,0.0,0.0
0.688,0.688,-7.77,-6.24,0.0,0.0,0.0,0.0
0.741,0.741,-7.77,-6.24,0.0,0.0,0.0,0.0
0.794,0.794,-7.77,-6.24,0.0,0.0,0.0,0.0
0.847,0.847,-7.77,-6.24,0.0,0.0,0.0,0.0
0.9,0.9,-7.77,-6.24,0.0,0.0,0.0,0.0
0.952,0.952,-7.77,-6.24,0.0,0.0,0.0,0.0
1.005,1.005,-7.77,-6.24,0.0,0.0,0.0,0.0
1.058,1.058,-7.77,-6.24,0.0,0.0,0.0,0.0
1.111,1.111,-7.77,-6.24,0.0,0.0,0.0,0.0
1.164,1.164,-7.77,-6.24,0.0,0.0,0.0,0.0
1.216,1.216,-7.77,-6.24,0.0,0.0,0.0,0.0
1.271,1.271,-7.77,-6.24,0.0,0.0,0.0,0.0
1.324,1.324,-7.77,-6.24,0.0,0.0,0.0,0.0
1.376,1.376,-7.77,-6.24,0.0,0.0,0.0,0.0
1.429,1.429,-7.77,-6.24,0.0,0.0,0.0,0.0
1.483,1.483,-7.77,-6.24,0.0,0.0,0.0,0.0
1.535,1.535,-7.77,-6.24,0.0,0.0,0.0,0.0
1.588,1.588,-7.77,-6.24,0.0,0.0,0.0,0.0
1.64,1.64,-7.77,-6.24,0.0,0.0,0.0,0.0
1.694,1.694,-7.77,-6.24,0.0,0.0,0.0,0.0
1.746,1.746,-7.77,-6.24,0.0,0.0,0.0,0.0
1.799,1.799,-7.77,-6.24,0.0,0.0,0.0,0.0
1.852,1.852,-7.77,-6.24,0.0,0.0,0.0,0.0
1.904,1.904,-7.77,-6.24,0.0,0.0,0.0,0.0
1.958,1.958,-7.77,-6.24,0.0,0.0,0.0,0.0
2.01,2.01,-7.77,-6.24,0.0,0.0,0.0,0.0
2.063,2.063,-7.77,-6.24,0.0,0.0,0.0,0.0
2.115,2.115,-7.77,-6.24,0.0,0.0,0.0,0.0
2.169,2.169,-7.77,-6.24,0.0,0.0,0.0,0.0
2.222,2.222,-7.77,-6.24,0.0,0.0,0.0,0.0
2.274,2.274,-7.77,-6.24,0.0,0.0,0.0,0.0
2.327,2.327,-7.77,-6.24,0.0,0.0,0.0,0.0
2.38,2.38,-7.77,-6.24,0.0,0.0,0.0,0.0
2.433,2.433,-7.77,-6.24,0.0,0.0,0.0,0.0
2.486,2.486,-7.77,-6.24,0.0,0.0,0.0,0.0
2.539,2.539,-7.77,-6.24,0.0,0.0,0.0,0.0
2.592,2.592,-7.77,-6.24,0.0,0.0,0.0,0.0
2.645,2.645,-7.77,-6.24,0.0,0.0,0.0,0.0
2.698,2.698,-7.77,-6.24,0.0,0.0,0.0,0.0
2.75,2.75,-7.77,-6.24,0.0,0.0,0.0,0.0
2.804,2.804,-7.77,-6.24,0.0,0.0,0.0,0.0
2.856,2.856,-7.77,-6.24,0.0,0.0,0.0,0.0
2.909,2.909,-7.77,-6.24,0.0,0.0,0.0,0.0
2.961,2.961,-7.77,-6.24,0.0,0.0,0.0,0.0
3.014,3.014,-7.77,-6.24,0.0,0.0,0.0,0.0
3.067,3.067,-7.77,-6.24,0.0,0.0,0.0,0.0
3.12,3.12,-7.77,-6.24,0.0,0.0,0.0,0.0
3.173,3.173,-7.77,-6.24,0.0,0.0,0.0,0.0
3.225,3.225,-7.77,-6.24,0.0,0.0,0.0,0.0
3.279,3.279,-7.77,-6.24,0.0,0.0,0.0,0.0
3.331,3.331,-7.77,-6.24,0.0,0.0,0.0,0.0
3.384,3.384,-7.77,-6.24,0.0,0.0,0.0,0.0
3.436,3.436,-7.77,-6.24,0.0,0.0,0.0,0.0
3.49,3.49,-7.77,-6.24,0.0,0.0,0.0,0.0
3.543,3.543,-7.77,-6.24,0.0,0.0,0.0,0.0
3.595,3.595,-7.77,-6.24,0.0,0.0,0.0,0.0
3.648,3.648,-7.77,-6.24,0.0,0.0,0.0,0.0
3.701,3.701,-7.77,-6.24,0.0,0.0,0.0,0.0
3.754,3.754,-7.77,-6.24,0.0,0.0,0.0,0.0
3.806,3.806,-7.77,-6.24,0.0,0.0,0.0,0.0
3.859,3.859,-7.77,-6.24,0.0,0.0,0.0,0.0
3.913,3.913,-7.77,-6.24,0.0,0.0,0.0,0.0
3.965,3.965,-7.77,-6.24,0.0,0.0,0.0,0.0
4.018,4.018,-7.77,-6.24,0.0,0.0,0.0,0.0
4.07,4.07,-7.77,-6.24,0.0,0.0,0.0,0.0
4.123,4.123,-7.77,-6.24,0.0,0.0,0.0,0.0
4.176,4.176,-7.77,-6.24,0.0,0.0,0.0,0.0
4.229,4.229,-7.77,-6.24,0.0,0.0,0.0,0.0
4.281,4.281,-7.77,-6.24,0.0,0.0,0.0,0.0
4.334,4.334,-7.77,-6.24,0.0,0.0,0.0,0.0
4.388,4.388,-7.77,-6.24,0.0,0.0,0.0,0.0
4.44,4.44,-7.77,-6.24,0.0,0.0,0.0,0.0
4.493,4.493,-7.77,-6.24,0.0,0.0,0.0,0.0
4.545,4.545,-7.77,-6.24,0.0,0.0,0.0,0.0
4.6,4.6,-7.77,-6.24,0.0,0.0,0.0,0.0
4.652,4.652,-7.77,-6.24,0.0,0.0,0.0,0.0
4.705,4.705,-7.77,-6.24,0.0,0.0,0.0,0.0
4.758,4.758,-7.77,-6.24,0.0,0.0,0.0,0.0
4.811,4.811,-7.77,-6.24,0.0,0.0,0.0,0.0
4.864,4.864,-7.77,-6.24,0.0,0.0,0.0,0.0
4.916,4.916,-7.77,-6.24,0.0,0.0,0.0,0.0
4.969,4.969,-7.77,-6.24,0.0,0.0,0.0,0.0
5.022,5.022,-7.77,-6.24,0.0,0.0,0.0,0.0
5.075,5.075,-7.77,-6.24,0.0,0.0,0.0,0.0
5.128,5.128,-7.77,-6.24,0.0,0.0,0.0,0.0
5.18,5.18,-7.77,-6.24,0.0,0.0,0.0,0.0
5.234,5.234,-7.77,-6.24,0.0,0.0,0.0,0.0
5.286,5.286,-7.77,-6.24,0.0,0.0,0.0,0.0
5.339,5.339,-7.77,-6.24,0.0,0.0,0.0,0.0
5.391,5.391,-7.77,-6.24,0.0,0.0,0.0,0.0
5.444,5.444,-7.77,-6.24,0.0,0.0,0.0,0.0
5.498,5.498,-7.77,-6.24,0.0,0.0,0.0,0.0
