time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.052,0.052,2.14,-6.32,0.0,0.0,0.0,0.0
0.108,0.108,2.14,-6.32,0.0,0.0,0.0,0.0
0.164,0.164,2.14,-6.32,0.0,0.0,0.0,0.0
0.218,0.218,2.14,-6.32,0.0,0.0,0.0,0.0
0.271,0.271,2.14,-6.32,0.0,0.0,0.0,0.0
0.33,0.33,2.14,-6.32,0.0,0.0,0.0,0.0
0.387,0.387,2.14,-6.32,0.0,0.0,0.0,0.0
0.443,0.443,2.14,-6.32,0.0,0.0,0.0,0.0
0.496,0.496,2.14,-6.32,0.0,0.0,0.0,0.0
0.555,0.555,2.14,-6.32,0.0,0.0,0.0,0.0
0.61,0.61,2.14,-6.32,0.0,0.0,0.0,0.0
0.665,0.665,2.14,-6.32,0.0,0.0,0.0,0.0
0.722,0.722,2.14,-6.32,0.0,0.0,0.0,0.0
0.778,0.778,2.14,-6.32,0.0,0.0,0.0,0.0
0.834,0.834,2.14,-6.32,0.0,0.0,0.0,0.0
0.888,0.888,2.14,-6.32,0.0,0.0,0.0,0.0
0.943,0.943,2.14,-6.32,0.0,0.0,0.0,0.0
1.0,1.0,2.14,-6.32,0.0,0.0,0.0,0.0
1.052,1.052,2.14,-6.32,0.0,0.0,0.0,0.0
1.106,1.106,2.14,-6.32,0.0,0.0,0.0,0.0
1.159,1.159,2.14,-6.32,0.0,0.0,0.0,0.0
1.212,1.212,2.14,-6.32,0.0,0.0,0.0,0.0
1.265,1.265,2.14,-6.32,0.0,0.0,0.0,0.0
1.319,1.319,2.14,-6.32,0.0,0.0,0.0,0.0
1.372,1.372,2.14,-6.32,0.0,0.0,0.0,0.0
1.425,1.425,2.14,-6.32,0.0,0.0,0.0,0.0
1.48,1.48,2.14,-6.32,0.0,0.0,0.0,0.0
1.536,1.536,2.14,-6.32,0.0,0.0,0.0,0.0
1.593,1.593,2.14,-6.32,0.0,0.0,0.0,0.0
1.652,1.652,2.14,-6.32,0.0,0.0,0.0,0.0
1.708,1.708,2.14,-6.32,0.0,0.0,0.0,0.0
1.761,1.761,2.14,-6.32,0.0,0.0,0.0,0.0
1.815,1.815,2.14,-6.32,0.0,0.0,0.0,0.0
1.869,1.869,2.14,-6.32,0.0,0.0,0.0,0.0
1.926,1.926,2.14,-6.32,0.0,0.0,0.0,0.0
1.98,1.98,2.14,-6.32,0.0,0.0,0.0,0.0
2.034,2.034,2.14,-6.32,0.0,0.0,0.0,0.0
2.087,2.087,2.14,-6.32,0.0,0.0,0.0,0.0
2.14,2.14,2.14,-6.32,0.0,0.0,0.0,0.0
2.194,2.194,2.14,-6.32,0.0,0.0,0.0,0.0
2.247,2.247,2.14,-6.32,0.0,0.0,0.0,0.0
2.304,2.304,2.14,-6.32,0.0,0.0,0.0,0.0
2.359,2.359,2.14,-6.32,0.0,0.0,0.0,0.0
2.413,2.413,2.14,-6.32,0.0,0.0,0.0,0.0
2.47,2.47,2.14,-6.32,0.0,0.0,0.0,0.0
2.527,2.527,2.14,-6.32,0.0,0.0,0.0,0.0
2.582,2.582,2.14,-6.32,0.0,0.0,0.0,0.0
2.639,2.639,2.14,-6.32,0.0,0.0,0.0,0.0
2.696,2.696,2.14,-6.32,0.0,0.0,0.0,0.0
2.752,2.752,2.14,-6.32,0.0,0.0,0.0,0.0
2.804,2.804,2.14,-6.32,0.0,0.0,0.0,0.0
2.857,2.857,2.14,-6.32,0.0,0.0,0.0,0.0
2.91,2.91,2.14,-6.32,0.0,0.0,0.0,0.0
2.966,2.966,2.14,-6.32,0.0,0.0,0.0,0.0
3.024,3.024,2.14,-6.32,0.0,0.0,0.0,0.0
3.08,3.08,2.14,-6.32,0.0,0.0,0.0,0.0
3.134,3.134,2.14,-6.32,0.0,0.0,0.0,0.0
3.191,3.191,2.14,-6.32,0.0,0.0,0.0,0.0
3.251,3.251,2.14,-6.32,0.0,0.0,0.0,0.0
3.304,3.304,2.14,-6.32,0.0,0.0,0.0,0.0
3.36,3.36,2.14,-6.32,0.0,0.0,0.0,0.0
