time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.053,0.053,4.35,-0.86,0.0,0.0,0.0,0.0
0.106,0.106,4.35,-0.86,0.0,0.0,0.0,0.0
0.158,0.158,4.35,-0.86,0.0,0.0,0.0,0.0
0.212,0.212,4.35,-0.86,0.0,0.0,0.0,0.0
0.265,0.265,4.35,-0.86,0.0,0.0,0.0,0.0
0.317,0.317,4.35,-0.86,0.0,0.0,0.0,0.0
0.37,0.37,4.35,-0.86,0.0,0.0,0.0,0.0
0.424,0.424,4.35,-0.86,0.0,0.0,0.0,0.0
0.476,0.476,4.35,-0.86,0.0,0.0,0.0,0.0
0.529,0.529,4.35,-0.86,0.0,0.0,0.0,0.0
0.582,0.582,4.35,-0.86,0.0,0.0,0.0,0.0
0.635,0.635,4.35,-0.86,0.0,0.0,0.0,0.0
0.688,0.688,4.35,-0.86,0.0,0.0,0.0,0.0
0.741,0.741,4.35,-0.86,0.0,0.0,0.0,0.0
0.794,0.794,4.35,-0.86,0.0,0.0,0.0,0.0
0.847,0.847,4.35,-0.86,0.0,0.0,0.0,0.0
0.9,0.9,4.35,-0.86,0.0,0.0,0.0,0.0
0.953,0.953,4.35,-0.86,0.0,0.0,0.0,0.0
1.005,1.005,4.35,-0.86,0.0,0.0,0.0,0.0
1.059,1.059,4.35,-0.86,0.0,0.0,0.0,0.0
1.112,1.112,4.35,-0.86,0.0,0.0,0.0,0.0
1.164,1.164,4.35,-0.86,0.0,0.0,0.0,0.0
1.217,1.217,4.35,-0.86,0.0,0.0,0.0,0.0
1.27,1.27,4.35,-0.86,0.0,0.0,0.0,0.0
1.323,1.323,4.35,-0.86,0.0,0.0,0.0,0.0
1.376,1.376,4.35,-0.86,0.0,0.0,0.0,0.0
1.429,1.429,4.35,-0.86,0.0,0.0,0.0,0.0
1.481,1.481,4.35,-0.86,0.0,0.0,0.0,0.0
1.535,1.535,4.35,-0.86,0.0,0.0,0.0,0.0
1.588,1.588,4.35,-0.86,0.0,0.0,0.0,0.0
1.64,1.64,4.35,-0.86,0.0,0.0,0.0,0.0
1.693,1.693,4.35,-0.86,0.0,0.0,0.0,0.0
1.747,1.747,4.35,-0.86,0.0,0.0,0.0,0.0
1.8,1.8,4.35,-0.86,0.0,0.0,0.0,0.0
1.852,1.852,4.35,-0.86,0.0,0.0,0.0,0.0
1.905,1.905,4.35,-0.86,0.0,0.0,0.0,0.0
1.959,1.959,4.35,-0.86,0.0,0.0,0.0,0.0
2.011,2.011,4.35,-0.86,0.0,0.0,0.0,0.0
2.064,2.064,4.35,-0.86,0.0,0.0,0.0,0.0
2.117,2.117,4.35,-0.86,0.0,0.0,0.0,0.0
2.17,2.17,4.35,-0.86,0.0,0.0,0.0,0.0
2.223,2.223,4.35,-0.86,0.0,0.0,0.0,0.0
2.276,2.276,4.35,-0.86,0.0,0.0,0.0,0.0
2.328,2.328,4.35,-0.86,0.0,0.0,0.0,0.0
2.382,2.382,4.35,-0.86,0.0,0.0,0.0,0.0
2.435,2.435,4.35,-0.86,0.0,0.0,0.0,0.0
2.487,2.487,4.35,-0.86,0.0,0.0,0.0,0.0
2.54,2.54,4.35,-0.86,0.0,0.0,0.0,0.0
2.593,2.593,4.35,-0.86,0.0,0.0,0.0,0.0
2.646,2.646,4.35,-0.86,0.0,0.0,0.0,0.0
2.699,2.699,4.35,-0.86,0.0,0.0,0.0,0.0
2.752,2.752,4.35,-0.86,0.0,0.0,0.0,0.0
2.805,2.805,4.35,-0.86,0.0,0.0,0.0,0.0
2.858,2.858,4.35,-0.86,0.0,0.0,0.0,0.0
2.911,2.911,4.35,-0.86,0.0,0.0,0.0,0.0
2.964,2.964,4.35,-0.86,0.0,0.0,0.0,0.0
3.016,3.016,4.35,-0.86,0.0,0.0,0.0,0.0
3.07,3.07,4.35,-0.86,0.0,0.0,0.0,0.0
3.123,3.123,4.35,-0.86,0.0,0.0,0.0,0.0
3.175,3.175,4.35,-0.86,0.0,0.0,0.0,0.0
3.228,3.228,4.35,-0.86,0.0,0.0,0.0,0.0
3.282,3.282,4.35,-0.86,0.0,0.0,0.0,0.0
3.334,3.334,4.35,-0.86,0.0,0.0,0.0,0.0
3.387,3.387,4.35,-0.86,0.0,0.0,0.0,0.0
3.44,3.44,4.35,-0.86,0.0,0.0,0.0,0.0
3.493,3.493,4.35,-0.86,0.0,0.0,0.0,0.0
3.546,3.546,4.35,-0.86,0.0,0.0,0.0,0.0
3.599,3.599,4.35,-0.86,0.0,0.0,0.0,0.0
3.652,3.652,4.35,-0.86,0.0,0.0,0.0,0.0
3.705,3.705,4.35,-0.86,0.0,0.0,0.0,0.0
3.758,3.758,4.35,-0.86,0.0,0.0,0.0,0.0
3.811,3.811,4.35,-0.86,0.0,0.0,0.0,0.0
3.863,3.863,4.35,-0.86,0.0,0.0,0.0,0.0
3.916,3.916,4.35,-0.86,0.0,0.0,0.0,0.0
3.97,3.97,4.35,-0.86,0.0,0.0,0.0,0.0
4.022,4.022,4.35,-0.86,0.0,0.0,0.0,0.0
4.075,4.075,4.35,-0.86,0.0,0.0,0.0,0.0
4.128,4.128,4.35,-0.86,0.0,0.0,0.0,0.0
4.181,4.181,4.35,-0.86,0.0,0.0,0.0,0.0
4.234,4.234,4.35,-0.86,0.0,0.0,0.0,0.0
4.287,4.287,4.35,-0.86,0.0,0.0,0.0,0.0
4.339,4.339,4.35,-0.86,0.0,0.0,0.0,0.0
4.393,4.393,4.35,-0.86,0.0,0.0,0.0,0.0
4.446,4.446,4.35,-0.86,0.0,0.0,0.0,0.0
4.498,4.498,4.35,-0.86,0.0,0.0,0.0,0.0
4.551,4.551,4.35,-0.86,0.0,0.0,0.0,0.0
4.605,4.605,4.35,-0.86,0.0,0.0,0.0,0.0
4.658,4.658,4.35,-0.86,0.0,0.0,0.0,0.0
4.71,4.71,4.35,-0.86,0.0,0.0,0.0,0.0
4.763,4.763,4.35,-0.86,0.0,0.0,0.0,0.0
4.817,4.817,4.35,-0.86,0.0,0.0,0.0,0.0
4.869,4.869,4.35,-0.86,0.0,0.0,0.0,0.0
4.922,4.922,4.35,-0.86,0.0,0.0,0.0,0.0
4.975,4.975,4.35,-0.86,0.0,0.0,0.0,0.0
5.028,5.028,4.35,-0.86,0.0,0.0,0.0,0.0
5.081,5.081,4.35,-0.86,0.0,0.0,0.0,0.0
5.134,5.134,4.35,-0.86,0.0,0.0,0.0,0.0
5.186,5.186,4.35,-0.86,0.0,0.0,0.0,0.0
5.239,5.239,4.35,-0.86,0.0,0.0,0.0,0.0
5.398,5.398,4.35,-1.37,0.0,-3.2075471698113254,0.0,0.0
5.451,5.451,4.35,-1.37,0.0,0.0,0.0,0.0
5.505,5.505,4.35,-1.37,0.0,0.0,0.0,0.0
5.557,5.557,4.35,-1.37,0.0,0.0,0.0,0.0
5.61,5.61,4.35,-1.37,0.0,0.0,0.0,10.0
5.691,5.691,4.35,-1.37,0.0,0.0,0.0,10.0
5.774,5.774,4.35,-2.27,0.0,-10.843373493975879,0.0,10.0
5.851,5.851,4.35,-1.08,0.0,15.454545454545462,0.0,10.0
5.932,5.932,4.35,2.18,0.0,40.24691358024671,0.0,10.0
6.015,6.015,4.35,4.41,0.0,26.8674698795183,0.0,10.0
6.097,6.097,4.35,4.41,0.0,0.0,0.0,10.0
6.18,6.18,4.35,4.41,0.0,0.0,1.0,10.0
