time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.055,0.055,-4.66,1.76,0.0,0.0,0.0,0.0
0.107,0.107,-4.66,1.76,0.0,0.0,0.0,0.0
0.16,0.16,-4.66,1.76,0.0,0.0,0.0,0.0
0.214,0.214,-4.66,1.76,0.0,0.0,0.0,0.0
0.266,0.266,-4.66,1.76,0.0,0.0,0.0,0.0
0.319,0.319,-4.66,1.76,0.0,0.0,0.0,0.0
0.372,0.372,-4.66,1.76,0.0,0.0,0.0,0.0
0.427,0.427,-4.66,1.76,0.0,0.0,0.0,0.0
0.48,0.48,-4.66,1.76,0.0,0.0,0.0,0.0
0.533,0.533,-4.66,1.76,0.0,0.0,0.0,0.0
0.586,0.586,-4.66,1.76,0.0,0.0,0.0,0.0
0.641,0.641,-4.66,1.76,0.0,0.0,0.0,0.0
0.694,0.694,-4.66,1.76,0.0,0.0,0.0,0.0
0.747,0.747,-4.66,1.76,0.0,0.0,0.0,0.0
0.799,0.799,-4.66,1.76,0.0,0.0,0.0,0.0
0.853,0.853,-4.66,1.76,0.0,0.0,0.0,0.0
0.906,0.906,-4.66,1.76,0.0,0.0,0.0,0.0
0.959,0.959,-4.66,1.76,0.0,0.0,0.0,0.0
1.013,1.013,-4.66,1.76,0.0,0.0,0.0,0.0
1.07,1.07,-4.66,1.76,0.0,0.0,0.0,0.0
1.122,1.122,-4.66,1.76,0.0,0.0,0.0,0.0
1.176,1.176,-4.66,1.76,0.0,0.0,0.0,0.0
1.23,1.23,-4.66,1.76,0.0,0.0,0.0,0.0
1.283,1.283,-4.66,1.76,0.0,0.0,0.0,0.0
1.336,1.336,-4.66,1.76,0.0,0.0,0.0,0.0
1.389,1.389,-4.66,1.76,0.0,0.0,0.0,0.0
1.442,1.442,-4.66,1.76,0.0,0.0,0.0,0.0
1.496,1.496,-4.66,1.76,0.0,0.0,0.0,0.0
1.549,1.549,-4.66,1.76,0.0,0.0,0.0,0.0
1.602,1.602,-4.66,1.76,0.0,0.0,0.0,0.0
1.655,1.655,-4.66,1.76,0.0,0.0,0.0,0.0
1.708,1.708,-4.66,1.76,0.0,0.0,0.0,0.0
1.764,1.764,-4.66,1.76,0.0,0.0,0.0,0.0
1.818,1.818,-4.66,1.76,0.0,0.0,0.0,0.0
1.872,1.872,-4.66,1.76,0.0,0.0,0.0,0.0
1.927,1.927,-4.66,1.76,0.0,0.0,0.0,0.0
1.983,1.983,-4.66,1.76,0.0,0.0,0.0,0.0
2.038,2.038,-4.66,1.76,0.0,0.0,0.0,0.0
2.095,2.095,-4.66,1.76,0.0,0.0,0.0,0.0
2.148,2.148,-4.66,1.76,0.0,0.0,0.0,0.0
2.2,2.2,-4.66,1.76,0.0,0.0,0.0,0.0
2.253,2.253,-4.66,1.76,0.0,0.0,0.0,0.0
2.307,2.307,-4.66,1.76,0.0,0.0,0.0,0.0
2.361,2.361,-4.66,1.76,0.0,0.0,0.0,0.0
2.42,2.42,-4.66,1.76,0.0,0.0,0.0,0.0
2.472,2.472,-4.66,1.76,0.0,0.0,0.0,0.0
2.526,2.526,-4.66,1.76,0.0,0.0,0.0,0.0
2.58,2.58,-4.66,1.76,0.0,0.0,0.0,0.0
2.633,2.633,-4.66,1.76,0.0,0.0,0.0,0.0
2.685,2.685,-4.66,1.76,0.0,0.0,0.0,0.0
2.74,2.74,-4.66,1.76,0.0,0.0,0.0,0.0
2.793,2.793,-4.66,1.76,0.0,0.0,0.0,0.0
2.846,2.846,-4.66,1.76,0.0,0.0,0.0,0.0
2.899,2.899,-4.66,1.76,0.0,0.0,0.0,0.0
2.953,2.953,-4.66,1.76,0.0,0.0,0.0,0.0
3.005,3.005,-4.66,1.76,0.0,0.0,0.0,0.0
3.058,3.058,-4.66,1.76,0.0,0.0,0.0,0.0
3.111,3.111,-4.66,1.76,0.0,0.0,0.0,0.0
3.166,3.166,-4.66,1.76,0.0,0.0,0.0,0.0
3.219,3.219,-4.66,1.76,0.0,0.0,0.0,0.0
3.271,3.271,-4.66,1.76,0.0,0.0,0.0,0.0
3.325,3.325,-4.66,1.76,0.0,0.0,0.0,0.0
3.379,3.379,-4.66,1.76,0.0,0.0,0.0,0.0
3.432,3.432,-4.66,1.76,0.0,0.0,0.0,0.0
3.485,3.485,-4.66,1.76,0.0,0.0,0.0,0.0
3.538,3.538,-4.66,1.76,0.0,0.0,0.0,0.0
3.593,3.593,-4.66,1.76,0.0,0.0,0.0,0.0
3.646,3.646,-4.66,1.76,0.0,0.0,0.0,0.0
3.698,3.698,-4.66,1.76,0.0,0.0,0.0,0.0
3.751,3.751,-4.66,1.76,0.0,0.0,0.0,0.0
3.805,3.805,-4.66,1.76,0.0,0.0,0.0,0.0
3.857,3.857,-4.66,1.76,0.0,0.0,0.0,0.0
3.912,3.912,-4.66,1.76,0.0,0.0,0.0,0.0
3.965,3.965,-4.66,1.76,0.0,0.0,0.0,0.0
4.018,4.018,-4.66,1.76,0.0,0.0,0.0,0.0
4.071,4.071,-4.66,1.76,0.0,0.0,0.0,0.0
4.124,4.124,-4.66,1.76,0.0,0.0,0.0,0.0
4.177,4.177,-4.66,1.76,0.0,0.0,0.0,0.0
4.231,4.231,-4.66,1.76,0.0,0.0,0.0,0.0
4.284,4.284,-4.66,1.76,0.0,0.0,0.0,0.0
4.336,4.336,-4.66,1.76,0.0,0.0,0.0,0.0
4.39,4.39,-4.66,1.76,0.0,0.0,0.0,0.0
4.445,4.445,-4.66,1.76,0.0,0.0,0.0,0.0
4.498,4.498,-4.66,1.76,0.0,0.0,0.0,0.0
