time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.054,0.054,-4.17,-3.12,0.0,0.0,0.0,0.0
0.106,0.106,-4.17,-3.12,0.0,0.0,0.0,0.0
0.159,0.159,-4.17,-3.12,0.0,0.0,0.0,0.0
0.212,0.212,-4.17,-3.12,0.0,0.0,0.0,0.0
0.265,0.265,-4.17,-3.12,0.0,0.0,0.0,0.0
0.318,0.318,-4.17,-3.12,0.0,0.0,0.0,0.0
0.371,0.371,-4.17,-3.12,0.0,0.0,0.0,0.0
0.423,0.423,-4.17,-3.12,0.0,0.0,0.0,0.0
0.476,0.476,-4.17,-3.12,0.0,0.0,0.0,0.0
0.53,0.53,-4.17,-3.12,0.0,0.0,0.0,0.0
0.582,0.582,-4.17,-3.12,0.0,0.0,0.0,0.0
0.635,0.635,-4.17,-3.12,0.0,0.0,0.0,0.0
0.688,0.688,-4.17,-3.12,0.0,0.0,0.0,0.0
0.742,0.742,-4.17,-3.12,0.0,0.0,0.0,0.0
0.794,0.794,-4.17,-3.12,0.0,0.0,0.0,0.0
0.847,0.847,-4.17,-3.12,0.0,0.0,0.0,0.0
0.9,0.9,-4.17,-3.12,0.0,0.0,0.0,0.0
0.953,0.953,-4.17,-3.12,0.0,0.0,0.0,0.0
1.006,1.006,-4.17,-3.12,0.0,0.0,0.0,0.0
1.059,1.059,-4.17,-3.12,0.0,0.0,0.0,0.0
1.111,1.111,-4.17,-3.12,0.0,0.0,0.0,0.0
1.165,1.165,-4.17,-3.12,0.0,0.0,0.0,0.0
1.218,1.218,-4.17,-3.12,0.0,0.0,0.0,0.0
1.27,1.27,-4.17,-3.12,0.0,0.0,0.0,0.0
1.323,1.323,-4.17,-3.12,0.0,0.0,0.0,0.0
1.377,1.377,-4.17,-3.12,0.0,0.0,0.0,0.0
1.43,1.43,-4.17,-3.12,0.0,0.0,0.0,0.0
1.482,1.482,-4.17,-3.12,0.0,0.0,0.0,0.0
1.535,1.535,-4.17,-3.12,0.0,0.0,0.0,0.0
1.589,1.589,-4.17,-3.12,0.0,0.0,0.0,0.0
1.641,1.641,-4.17,-3.12,0.0,0.0,0.0,0.0
1.694,1.694,-4.17,-3.12,0.0,0.0,0.0,0.0
1.747,1.747,-4.17,-3.12,0.0,0.0,0.0,0.0
1.8,1.8,-4.17,-3.12,0.0,0.0,0.0,0.0
1.853,1.853,-4.17,-3.12,0.0,0.0,0.0,0.0
1.906,1.906,-4.17,-3.12,0.0,0.0,0.0,0.0
1.958,1.958,-4.17,-3.12,0.0,0.0,0.0,0.0
2.011,2.011,-4.17,-3.12,0.0,0.0,0.0,0.0
2.065,2.065,-4.17,-3.12,0.0,0.0,0.0,0.0
2.118,2.118,-4.17,-3.12,0.0,0.0,0.0,0.0
2.17,2.17,-4.17,-3.12,0.0,0.0,0.0,0.0
2.223,2.223,-4.17,-3.12,0.0,0.0,0.0,0.0
2.277,2.277,-4.17,-3.12,0.0,0.0,0.0,0.0
2.329,2.329,-4.17,-3.12,0.0,0.0,0.0,0.0
2.382,2.382,-4.17,-3.12,0.0,0.0,0.0,0.0
2.435,2.435,-4.17,-3.12,0.0,0.0,0.0,0.0
2.488,2.488,-4.17,-3.12,0.0,0.0,0.0,0.0
2.541,2.541,-4.17,-3.12,0.0,0.0,0.0,0.0
2.594,2.594,-4.17,-3.12,0.0,0.0,0.0,0.0
2.647,2.647,-4.17,-3.12,0.0,0.0,0.0,0.0
2.7,2.7,-4.17,-3.12,0.0,0.0,0.0,0.0
2.753,2.753,-4.17,-3.12,0.0,0.0,0.0,0.0
2.806,2.806,-4.17,-3.12,0.0,0.0,0.0,0.0
2.858,2.858,-4.17,-3.12,0.0,0.0,0.0,0.0
2.912,2.912,-4.17,-3.12,0.0,0.0,0.0,0.0
2.965,2.965,-4.17,-3.12,0.0,0.0,0.0,0.0
3.017,3.017,-4.17,-3.12,0.0,0.0,0.0,0.0
3.07,3.07,-4.17,-3.12,0.0,0.0,0.0,0.0
3.124,3.124,-4.17,-3.12,0.0,0.0,0.0,0.0
3.177,3.177,-4.17,-3.12,0.0,0.0,0.0,0.0
3.229,3.229,-4.17,-3.12,0.0,0.0,0.0,0.0
3.282,3.282,-4.17,-3.12,0.0,0.0,0.0,0.0
3.336,3.336,-4.17,-3.12,0.0,0.0,0.0,0.0
3.388,3.388,-4.17,-3.12,0.0,0.0,0.0,0.0
3.441,3.441,-4.17,-3.12,0.0,0.0,0.0,0.0
3.494,3.494,-4.17,-3.12,0.0,0.0,0.0,0.0
3.546,3.546,-4.17,-3.12,0.0,0.0,0.0,0.0
3.6,3.6,-4.17,-3.12,0.0,0.0,0.0,0.0
3.653,3.653,-4.17,-3.12,0.0,0.0,0.0,0.0
3.705,3.705,-4.17,-3.12,0.0,0.0,0.0,0.0
3.758,3.758,-4.17,-3.12,0.0,0.0,0.0,0.0
3.812,3.812,-4.17,-3.12,0.0,0.0,0.0,0.0
3.865,3.865,-4.17,-3.12,0.0,0.0,0.0,0.0
3.917,3.917,-4.17,-3.12,0.0,0.0,0.0,0.0
3.97,3.97,-4.17,-3.12,0.0,0.0,0.0,0.0
4.024,4.024,-4.17,-3.12,0.0,0.0,0.0,0.0
4.076,4.076,-4.17,-3.12,0.0,0.0,0.0,0.0
4.129,4.129,-4.17,-3.12,0.0,0.0,0.0,0.0
4.182,4.182,-4.17,-3.12,0.0,0.0,0.0,0.0
4.235,4.235,-4.17,-3.12,0.0,0.0,0.0,0.0
4.288,4.288,-4.17,-3.12,0.0,0.0,0.0,0.0
4.341,4.341,-4.17,-3.12,0.0,0.0,0.0,0.0
4.394,4.394,-4.17,-3.12,0.0,0.0,0.0,0.0
4.447,4.447,-4.17,-3.12,0.0,0.0,0.0,0.0
4.5,4.5,-4.17,-3.12,0.0,0.0,0.0,0.0
4.553,4.553,-4.17,-3.12,0.0,0.0,0.0,0.0
4.605,4.605,-4.17,-3.12,0.0,0.0,0.0,0.0
4.659,4.659,-4.17,-3.12,0.0,0.0,0.0,0.0
4.712,4.712,-4.17,-3.12,0.0,0.0,0.0,0.0
4.764,4.764,-4.17,-3.12,0.0,0.0,0.0,0.0
4.817,4.817,-4.17,-3.12,0.0,0.0,0.0,0.0
4.87,4.87,-4.17,-3.12,0.0,0.0,0.0,0.0
4.923,4.923,-4.17,-3.12,0.0,0.0,0.0,0.0
4.976,4.976,-4.17,-3.12,0.0,0.0,0.0,0.0
5.029,5.029,-4.17,-3.12,0.0,0.0,0.0,0.0
5.082,5.082,-4.17,-3.12,0.0,0.0,0.0,0.0
5.135,5.135,-4.17,-3.12,0.0,0.0,0.0,0.0
5.188,5.188,-4.17,-3.12,0.0,0.0,0.0,0.0
5.241,5.241,-4.17,-3.12,0.0,0.0,0.0,0.0
5.293,5.293,-4.17,-3.12,0.0,0.0,0.0,0.0
5.349,5.349,-4.17,-3.12,0.0,0.0,0.0,0.0
5.402,5.402,-4.17,-3.12,0.0,0.0,0.0,0.0
5.455,5.455,-4.17,-3.12,0.0,0.0,0.0,0.0
5.507,5.507,-4.17,-3.12,0.0,0.0,0.0,0.0
5.561,5.561,-4.17,-3.12,0.0,0.0,0.0,10.0
5.641,5.641,-4.17,-4.35,0.0,-15.37499999999998,0.0,10.0
5.723,5.723,-4.17,-5.44,0.0,-13.292682926829302,0.0,10.0
5.804,5.804,-4.17,-2.82,0.0,32.34567901234552,0.0,10.0
5.888,5.888,-4.17,0.43,0.0,38.69047619047636,0.0,10.0
5.97,5.97,-4.17,0.43,0.0,0.0,0.0,10.0
6.053,6.053,-4.17,-1.53,0.0,-23.614457831325247,0.0,10.0
6.138,6.138,-4.17,-1.53,0.0,0.0,1.0,10.0
6.221,6.221,-4.17,-1.53,0.0,0.0,1.0,10.0
6.305,6.305,-4.17,-0.3,0.0,14.642857142857206,1.0,10.0
6.387,6.387,-4.17,1.94,0.0,27.317073170731753,1.0,10.0
6.467,6.467,-3.6,2.8,7.124999999999992,10.74999999999999,1.0,10.0
6.549,6.549,-3.6,1.29,0.0,-18.414634146341296,1.0,10.0
6.629,6.629,-3.6,0.02,0.0,-15.875000000000162,1.0,10.0
6.715,6.715,-3.6,0.02,0.0,0.0,1.0,10.0
6.798,6.798,-3.6,0.02,0.0,0.0,1.0,10.0
6.879,6.879,-3.0,0.67,7.407407407407453,8.02469135802474,1.0,10.0
6.964,6.964,-3.0,1.95,0.0,15.058823529411612,1.0,10.0
7.048,7.048,-3.0,4.59,0.0,31.428571428571562,2.0,10.0
7.129,7.129,-3.0,5.28,0.0,8.518518518518574,2.0,10.0
7.212,7.212,-3.0,3.42,0.0,-22.409638554216823,2.0,10.0
7.296,7.296,-3.0,2.06,0.0,-16.19047619047609,2.0,10.0
7.378,7.378,-3.0,2.06,0.0,0.0,2.0,10.0
7.46,7.46,-2.26,2.06,9.024390243902458,0.0,2.0,10.0
7.543,7.543,-2.26,1.38,0.0,-8.192771084337332,2.0,10.0
7.623,7.623,-2.26,0.46,0.0,-11.49999999999999,2.0,10.0
7.707,7.707,-2.26,2.49,0.0,24.166666666666774,3.0,10.0
7.789,7.789,-1.71,4.67,6.707317073170742,26.58536585365858,3.0,10.0
7.871,7.871,-1.71,4.67,0.0,0.0,3.0,10.0
7.953,7.953,-1.71,4.67,0.0,0.0,3.0,10.0
8.036,8.036,-1.71,5.45,0.0,9.397590361445866,3.0,9.0
8.119,8.119,-1.16,5.45,6.626506024096371,0.0,3.0,9.0
8.198,8.198,-1.16,4.79,0.0,-8.354430379746772,3.0,9.0
8.278,8.278,-1.16,3.77,0.0,-12.74999999999999,3.0,9.0
8.362,8.362,-1.16,5.88,0.0,25.119047619047727,4.0,9.0
8.445,8.445,-1.16,8.22,0.0,28.192771084337295,4.0,9.0
8.526,8.526,-1.16,8.22,0.0,0.0,4.0,9.0
8.607,8.607,-0.5,8.79,8.148148148148195,7.03703703703706,4.0,9.0
8.689,8.689,-0.5,8.79,0.0,0.0,4.0,9.0
8.771,8.771,-0.5,9.72,0.0,11.341463414634063,4.0,9.0
8.855,8.855,-0.5,9.72,0.0,0.0,4.0,9.0
8.935,8.935,0.12,11.05,7.749999999999993,16.624999999999986,4.0,9.0
9.018,9.018,0.12,14.12,0.0,36.98795180722882,5.0,9.0
9.101,9.101,0.12,14.12,0.0,0.0,5.0,9.0
9.182,9.182,0.12,12.91,0.0,-14.938271604938349,5.0,9.0
9.264,9.264,0.7,12.91,7.073170731707406,0.0,5.0,9.0
9.344,9.344,0.7,13.86,0.0,11.87499999999998,5.0,9.0
9.426,9.426,1.49,14.66,9.634146341463328,9.756097560975531,5.0,9.0
9.506,9.506,1.49,15.27,0.0,7.624999999999986,5.0,9.0
9.587,9.587,1.49,15.27,0.0,0.0,5.0,8.0
9.669,9.669,1.49,17.01,0.0,21.219512195121784,5.0,8.0
9.749,9.749,1.49,19.84,0.0,35.37499999999995,6.0,8.0
9.833,9.833,2.04,19.84,6.547619047619077,0.0,6.0,8.0
9.916,9.916,2.04,18.9,0.0,-11.325301204819267,6.0,8.0
9.998,9.998,2.59,18.9,6.707317073170814,0.0,6.0,8.0
10.075,10.075,2.59,19.51,0.0,7.922077922077965,6.0,8.0
10.156,10.156,3.19,20.2,7.40740740740729,8.518518518518354,6.0,8.0
10.235,10.235,3.19,20.71,0.0,6.455696202531759,6.0,8.0
10.315,10.315,3.19,19.61,0.0,-13.750000000000005,6.0,8.0
10.399,10.399,3.19,18.01,0.0,-19.047619047619104,6.0,8.0
10.477,10.477,3.19,21.07,0.0,39.23076923076862,7.0,8.0
10.556,10.556,3.83,26.23,8.10126582278493,65.31645569620349,7.0,8.0
10.638,10.638,3.83,26.82,0.0,7.195121951219446,7.0,7.0
10.719,10.719,3.83,25.03,0.0,-22.098765432098887,7.0,7.0
10.803,10.803,4.67,25.03,9.999999999999831,0.0,7.0,7.0
10.885,10.885,4.67,25.03,0.0,0.0,7.0,7.0
10.965,10.965,4.67,25.78,0.0,9.374999999999991,7.0,7.0
11.05,11.05,4.67,25.78,0.0,0.0,7.0,7.0
11.132,11.132,5.27,26.82,7.3170731707317955,12.682926829268443,7.0,7.0
11.212,11.212,5.27,29.66,0.0,35.499999999999964,7.0,7.0
11.293,11.293,5.27,29.66,0.0,0.0,7.0,7.0
11.376,11.376,5.78,28.34,6.144578313253007,-15.903614457831294,8.0,7.0
11.456,11.456,5.78,28.34,0.0,0.0,8.0,7.0
11.538,11.538,6.57,28.34,9.634146341463328,0.0,8.0,6.0
11.619,11.619,7.11,29.34,6.666666666666707,12.345679012345753,8.0,6.0
11.7,11.7,7.11,29.34,0.0,0.0,8.0,6.0
11.782,11.782,7.11,31.49,0.0,26.2195121951217,8.0,6.0
11.864,11.864,7.76,34.25,7.926829268292605,33.65853658536557,8.0,6.0
11.945,11.945,7.76,34.25,0.0,0.0,8.0,6.0
12.027,12.027,8.35,31.87,7.195121951219601,-29.024390243902793,8.0,6.0
12.107,12.107,8.35,31.28,0.0,-7.374999999999992,8.0,6.0
12.187,12.187,8.35,31.79,0.0,6.37499999999997,8.0,6.0
12.269,12.269,9.23,32.39,10.731707317073084,7.317073170731659,8.0,6.0
12.351,12.351,9.74,32.39,6.219512195121893,0.0,8.0,5.0
12.433,12.433,10.24,31.35,6.0975609756098335,-12.682926829268443,8.0,5.0
12.515,12.515,10.24,29.89,0.0,-17.80487804878034,9.0,5.0
12.595,12.595,11.03,33.12,9.87499999999998,40.37499999999992,9.0,5.0
12.678,12.678,11.03,37.27,0.0,49.99999999999996,9.0,5.0
12.757,12.757,11.83,37.27,10.12658227848117,0.0,9.0,5.0
12.838,12.838,11.83,34.76,0.0,-30.987654320987904,9.0,5.0
12.917,12.917,12.87,34.25,13.164556962025202,-6.455696202531569,9.0,5.0
13.002,13.002,13.68,34.25,9.529411764705793,0.0,9.0,5.0
13.085,13.085,14.38,34.25,8.43373493975903,0.0,9.0,4.0
13.17,13.17,14.38,32.99,0.0,-14.823529411764843,9.0,4.0
13.252,13.252,15.38,32.17,12.195121951219402,-9.999999999999913,9.0,4.0
13.338,13.338,15.98,33.94,6.976744186046627,20.581395348837518,9.0,4.0
13.42,13.42,16.59,35.9,7.439024390243828,23.902439024390038,9.0,4.0
