time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.056,0.056,-6.98,-8.53,0.0,0.0,0.0,0.0
0.113,0.113,-6.98,-8.53,0.0,0.0,0.0,0.0
0.166,0.166,-6.98,-8.53,0.0,0.0,0.0,0.0
0.219,0.219,-6.98,-8.53,0.0,0.0,0.0,0.0
0.272,0.272,-6.98,-8.53,0.0,0.0,0.0,0.0
0.326,0.326,-6.98,-8.53,0.0,0.0,0.0,0.0
0.379,0.379,-6.98,-8.53,0.0,0.0,0.0,0.0
0.431,0.431,-6.98,-8.53,0.0,0.0,0.0,0.0
0.485,0.485,-6.98,-8.53,0.0,0.0,0.0,0.0
0.539,0.539,-6.98,-8.53,0.0,0.0,0.0,0.0
0.591,0.591,-6.98,-8.53,0.0,0.0,0.0,0.0
0.645,0.645,-6.98,-8.53,0.0,0.0,0.0,0.0
0.698,0.698,-6.98,-8.53,0.0,0.0,0.0,0.0
0.753,0.753,-6.98,-8.53,0.0,0.0,0.0,0.0
0.809,0.809,-6.98,-8.53,0.0,0.0,0.0,0.0
0.865,0.865,-6.98,-8.53,0.0,0.0,0.0,0.0
0.92,0.92,-6.98,-8.53,0.0,0.0,0.0,0.0
0.973,0.973,-6.98,-8.53,0.0,0.0,0.0,0.0
1.026,1.026,-6.98,-8.53,0.0,0.0,0.0,0.0
1.078,1.078,-6.98,-8.53,0.0,0.0,0.0,0.0
1.132,1.132,-6.98,-8.53,0.0,0.0,0.0,0.0
1.184,1.184,-6.98,-8.53,0.0,0.0,0.0,0.0
1.239,1.239,-6.98,-8.53,0.0,0.0,0.0,0.0
1.292,1.292,-6.98,-8.53,0.0,0.0,0.0,0.0
1.346,1.346,-6.98,-8.53,0.0,0.0,0.0,0.0
1.403,1.403,-6.98,-8.53,0.0,0.0,0.0,0.0
1.456,1.456,-6.98,-8.53,0.0,0.0,0.0,0.0
1.508,1.508,-6.98,-8.53,0.0,0.0,0.0,0.0
1.562,1.562,-6.98,-8.53,0.0,0.0,0.0,0.0
1.615,1.615,-6.98,-8.53,0.0,0.0,0.0,0.0
1.669,1.669,-6.98,-8.53,0.0,0.0,0.0,0.0
1.726,1.726,-6.98,-8.53,0.0,0.0,0.0,0.0
1.78,1.78,-6.98,-8.53,0.0,0.0,0.0,0.0
1.832,1.832,-6.98,-8.53,0.0,0.0,0.0,0.0
1.885,1.885,-6.98,-8.53,0.0,0.0,0.0,0.0
1.94,1.94,-6.98,-8.53,0.0,0.0,0.0,0.0
1.992,1.992,-6.98,-8.53,0.0,0.0,0.0,0.0
2.046,2.046,-6.98,-8.53,0.0,0.0,0.0,0.0
2.102,2.102,-6.98,-8.53,0.0,0.0,0.0,0.0
2.159,2.159,-6.98,-8.53,0.0,0.0,0.0,0.0
2.213,2.213,-6.98,-8.53,0.0,0.0,0.0,0.0
2.266,2.266,-6.98,-8.53,0.0,0.0,0.0,0.0
2.319,2.319,-6.98,-8.53,0.0,0.0,0.0,0.0
2.374,2.374,-6.98,-8.53,0.0,0.0,0.0,0.0
2.43,2.43,-6.98,-8.53,0.0,0.0,0.0,0.0
2.483,2.483,-6.98,-8.53,0.0,0.0,0.0,0.0
2.537,2.537,-6.98,-8.53,0.0,0.0,0.0,0.0
2.59,2.59,-6.98,-8.53,0.0,0.0,0.0,0.0
2.643,2.643,-6.98,-8.53,0.0,0.0,0.0,0.0
2.696,2.696,-6.98,-8.53,0.0,0.0,0.0,0.0
2.75,2.75,-6.98,-8.53,0.0,0.0,0.0,0.0
2.804,2.804,-6.98,-8.53,0.0,0.0,0.0,0.0
2.861,2.861,-6.98,-8.53,0.0,0.0,0.0,0.0
2.913,2.913,-6.98,-8.53,0.0,0.0,0.0,0.0
2.967,2.967,-6.98,-8.53,0.0,0.0,0.0,0.0
3.019,3.019,-6.98,-8.53,0.0,0.0,0.0,0.0
3.072,3.072,-6.98,-8.53,0.0,0.0,0.0,0.0
3.125,3.125,-6.98,-8.53,0.0,0.0,0.0,0.0
3.179,3.179,-6.98,-8.53,0.0,0.0,0.0,0.0
3.232,3.232,-6.98,-8.53,0.0,0.0,0.0,0.0
