time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.053,0.053,3.56,-2.22,0.0,0.0,0.0,0.0
0.105,0.105,3.56,-2.22,0.0,0.0,0.0,0.0
0.159,0.159,3.56,-2.22,0.0,0.0,0.0,0.0
0.212,0.212,3.56,-2.22,0.0,0.0,0.0,0.0
0.265,0.265,3.56,-2.22,0.0,0.0,0.0,0.0
0.317,0.317,3.56,-2.22,0.0,0.0,0.0,0.0
0.371,0.371,3.56,-2.22,0.0,0.0,0.0,0.0
0.424,0.424,3.56,-2.22,0.0,0.0,0.0,0.0
0.476,0.476,3.56,-2.22,0.0,0.0,0.0,0.0
0.529,0.529,3.56,-2.22,0.0,0.0,0.0,0.0
0.583,0.583,3.56,-2.22,0.0,0.0,0.0,0.0
0.635,0.635,3.56,-2.22,0.0,0.0,0.0,0.0
0.688,0.688,3.56,-2.22,0.0,0.0,0.0,0.0
0.741,0.741,3.56,-2.22,0.0,0.0,0.0,0.0
0.793,0.793,3.56,-2.22,0.0,0.0,0.0,0.0
0.847,0.847,3.56,-2.22,0.0,0.0,0.0,0.0
0.9,0.9,3.56,-2.22,0.0,0.0,0.0,0.0
1.005,1.005,3.56,-2.22,0.0,0.0,0.0,0.0
1.059,1.059,3.56,-2.22,0.0,0.0,0.0,0.0
1.112,1.112,3.56,-2.22,0.0,0.0,0.0,0.0
1.164,1.164,3.56,-2.22,0.0,0.0,0.0,0.0
1.217,1.217,3.56,-2.22,0.0,0.0,0.0,0.0
1.271,1.271,3.56,-2.22,0.0,0.0,0.0,0.0
1.323,1.323,3.56,-2.22,0.0,0.0,0.0,0.0
1.376,1.376,3.56,-2.22,0.0,0.0,0.0,0.0
1.429,1.429,3.56,-2.22,0.0,0.0,0.0,0.0
1.482,1.482,3.56,-2.22,0.0,0.0,0.0,0.0
1.535,1.535,3.56,-2.22,0.0,0.0,0.0,0.0
1.588,1.588,3.56,-2.22,0.0,0.0,0.0,0.0
1.641,1.641,3.56,-2.22,0.0,0.0,0.0,0.0
1.694,1.694,3.56,-2.22,0.0,0.0,0.0,0.0
1.747,1.747,3.56,-2.22,0.0,0.0,0.0,0.0
1.8,1.8,3.56,-2.22,0.0,0.0,0.0,0.0
1.852,1.852,3.56,-2.22,0.0,0.0,0.0,0.0
1.906,1.906,3.56,-2.22,0.0,0.0,0.0,0.0
1.959,1.959,3.56,-2.22,0.0,0.0,0.0,0.0
2.011,2.011,3.56,-2.22,0.0,0.0,0.0,0.0
2.064,2.064,3.56,-2.22,0.0,0.0,0.0,0.0
2.118,2.118,3.56,-2.22,0.0,0.0,0.0,0.0
2.17,2.17,3.56,-2.22,0.0,0.0,0.0,0.0
2.223,2.223,3.56,-2.22,0.0,0.0,0.0,0.0
2.276,2.276,3.56,-2.22,0.0,0.0,0.0,0.0
2.328,2.328,3.56,-2.22,0.0,0.0,0.0,0.0
2.382,2.382,3.56,-2.22,0.0,0.0,0.0,0.0
2.435,2.435,3.56,-2.22,0.0,0.0,0.0,0.0
