time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.058,0.058,-1.19,4.1,0.0,0.0,0.0,0.0
0.114,0.114,-1.19,4.1,0.0,0.0,0.0,0.0
0.169,0.169,-1.19,4.1,0.0,0.0,0.0,0.0
0.226,0.226,-1.19,4.1,0.0,0.0,0.0,0.0
0.281,0.281,-1.19,4.1,0.0,0.0,0.0,0.0
0.337,0.337,-1.19,4.1,0.0,0.0,0.0,0.0
0.394,0.394,-1.19,4.1,0.0,0.0,0.0,0.0
0.45,0.45,-1.19,4.1,0.0,0.0,0.0,0.0
0.504,0.504,-1.19,4.1,0.0,0.0,0.0,0.0
0.562,0.562,-1.19,4.1,0.0,0.0,0.0,0.0
0.619,0.619,-1.19,4.1,0.0,0.0,0.0,0.0
0.676,0.676,-1.19,4.1,0.0,0.0,0.0,0.0
0.734,0.734,-1.19,4.1,0.0,0.0,0.0,0.0
0.791,0.791,-1.19,4.1,0.0,0.0,0.0,0.0
0.848,0.848,-1.19,4.1,0.0,0.0,0.0,0.0
0.906,0.906,-1.19,4.1,0.0,0.0,0.0,0.0
0.961,0.961,-1.19,4.1,0.0,0.0,0.0,0.0
1.016,1.016,-1.19,4.1,0.0,0.0,0.0,0.0
1.07,1.07,-1.19,4.1,0.0,0.0,0.0,0.0
1.125,1.125,-1.19,4.1,0.0,0.0,0.0,0.0
1.181,1.181,-1.19,4.1,0.0,0.0,0.0,0.0
1.237,1.237,-1.19,4.1,0.0,0.0,0.0,0.0
1.296,1.296,-1.19,4.1,0.0,0.0,0.0,0.0
1.352,1.352,-1.19,4.1,0.0,0.0,0.0,0.0
1.41,1.41,-1.19,4.1,0.0,0.0,0.0,0.0
1.468,1.468,-1.19,4.1,0.0,0.0,0.0,0.0
1.523,1.523,-1.19,4.1,0.0,0.0,0.0,0.0
1.575,1.575,-1.19,4.1,0.0,0.0,0.0,0.0
1.631,1.631,-1.19,4.1,0.0,0.0,0.0,0.0
1.689,1.689,-1.19,4.1,0.0,0.0,0.0,0.0
1.746,1.746,-1.19,4.1,0.0,0.0,0.0,0.0
1.803,1.803,-1.19,4.1,0.0,0.0,0.0,0.0
1.861,1.861,-1.19,4.1,0.0,0.0,0.0,0.0
1.916,1.916,-1.19,4.1,0.0,0.0,0.0,0.0
1.973,1.973,-1.19,4.1,0.0,0.0,0.0,0.0
2.027,2.027,-1.19,4.1,0.0,0.0,0.0,0.0
2.08,2.08,-1.19,4.1,0.0,0.0,0.0,0.0
2.138,2.138,-1.19,4.1,0.0,0.0,0.0,0.0
2.195,2.195,-1.19,4.1,0.0,0.0,0.0,0.0
2.252,2.252,-1.19,4.1,0.0,0.0,0.0,0.0
2.311,2.311,-1.19,4.1,0.0,0.0,0.0,0.0
2.368,2.368,-1.19,4.1,0.0,0.0,0.0,0.0
