time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.055,0.055,-7.39,-9.62,0.0,-96.54545454545453,0.0,0.0
0.107,0.107,-7.39,-10.64,0.0,-19.61538461538464,0.0,0.0
0.161,0.161,-7.9,-9.13,-9.444444444444455,27.962962962962955,0.0,0.0
0.214,0.214,-7.25,-7.85,12.264150943396235,24.15094339622644,0.0,0.0
0.266,0.266,-7.25,-7.85,0.0,0.0,0.0,0.0
0.32,0.32,-7.25,-8.36,0.0,-9.444444444444441,0.0,0.0
0.374,0.374,-7.25,-8.36,0.0,0.0,0.0,0.0
0.427,0.427,-7.25,-8.36,0.0,0.0,0.0,0.0
0.479,0.479,-6.59,-8.36,12.692307692307697,0.0,0.0,0.0
0.532,0.532,-6.59,-8.36,0.0,0.0,0.0,0.0
0.585,0.585,-7.38,-8.36,-14.90566037735851,0.0,0.0,0.0
0.638,0.638,-7.38,-8.36,0.0,0.0,0.0,0.0
0.69,0.69,-7.38,-8.36,0.0,0.0,0.0,0.0
0.743,0.743,-7.38,-9.24,0.0,-16.60377358490566,0.0,0.0
0.797,0.797,-7.38,-10.33,0.0,-20.185185185185166,0.0,0.0
0.849,0.849,-7.38,-10.33,0.0,0.0,0.0,0.0
0.902,0.902,-7.38,-9.57,0.0,14.339622641509417,0.0,0.0
0.954,0.954,-7.38,-9.57,0.0,0.0,0.0,0.0
1.008,1.008,-7.38,-8.87,0.0,12.96296296296297,0.0,0.0
1.06,1.06,-7.38,-8.87,0.0,0.0,0.0,0.0
1.113,1.113,-7.38,-8.87,0.0,0.0,0.0,0.0
1.166,1.166,-7.38,-8.87,0.0,0.0,0.0,0.0
1.218,1.218,-7.38,-8.34,0.0,10.19230769230767,0.0,0.0
1.272,1.272,-7.38,-8.34,0.0,0.0,0.0,0.0
1.324,1.324,-7.38,-8.34,0.0,0.0,0.0,0.0
1.377,1.377,-7.38,-8.34,0.0,0.0,0.0,0.0
1.429,1.429,-7.38,-8.34,0.0,0.0,0.0,0.0
1.483,1.483,-7.38,-8.34,0.0,0.0,0.0,0.0
1.536,1.536,-7.38,-8.34,0.0,0.0,0.0,0.0
1.588,1.588,-7.38,-8.34,0.0,0.0,0.0,0.0
1.641,1.641,-7.38,-8.34,0.0,0.0,0.0,0.0
1.694,1.694,-7.38,-8.34,0.0,0.0,0.0,0.0
1.747,1.747,-7.38,-8.34,0.0,0.0,0.0,0.0
1.8,1.8,-7.38,-8.34,0.0,0.0,0.0,0.0
1.852,1.852,-7.38,-8.34,0.0,0.0,0.0,0.0
1.906,1.906,-7.38,-8.34,0.0,0.0,0.0,0.0
1.958,1.958,-6.84,-8.34,10.384615384615376,0.0,0.0,0.0
2.011,2.011,-6.84,-8.34,0.0,0.0,0.0,0.0
2.063,2.063,-6.84,-8.34,0.0,0.0,0.0,0.0
2.117,2.117,-6.84,-8.34,0.0,0.0,0.0,0.0
2.169,2.169,-6.84,-8.34,0.0,0.0,0.0,0.0
2.222,2.222,-6.84,-8.34,0.0,0.0,0.0,0.0
2.275,2.275,-6.84,-8.34,0.0,0.0,0.0,0.0
2.327,2.327,-6.84,-8.34,0.0,0.0,0.0,0.0
2.381,2.381,-6.84,-8.34,0.0,0.0,0.0,0.0
2.433,2.433,-6.84,-8.34,0.0,0.0,0.0,0.0
2.486,2.486,-6.84,-8.34,0.0,0.0,0.0,0.0
2.538,2.538,-6.84,-8.34,0.0,0.0,0.0,0.0
2.592,2.592,-6.84,-8.34,0.0,0.0,0.0,0.0
2.645,2.645,-6.84,-8.34,0.0,0.0,0.0,0.0
2.697,2.697,-6.84,-8.34,0.0,0.0,0.0,0.0
2.75,2.75,-6.84,-8.34,0.0,0.0,0.0,0.0
2.803,2.803,-6.84,-8.34,0.0,0.0,0.0,0.0
2.856,2.856,-6.84,-8.34,0.0,0.0,0.0,0.0
2.908,2.908,-6.84,-8.34,0.0,0.0,0.0,0.0
2.961,2.961,-6.84,-8.34,0.0,0.0,0.0,0.0
3.015,3.015,-6.84,-8.34,0.0,0.0,0.0,0.0
3.067,3.067,-6.84,-8.34,0.0,0.0,0.0,0.0
3.121,3.121,-6.84,-8.34,0.0,0.0,0.0,0.0
3.173,3.173,-6.84,-8.34,0.0,0.0,0.0,0.0
3.227,3.227,-6.84,-8.34,0.0,0.0,0.0,0.0
3.28,3.28,-6.84,-8.34,0.0,0.0,0.0,0.0
3.332,3.332,-6.84,-8.34,0.0,0.0,0.0,0.0
3.385,3.385,-6.84,-8.34,0.0,0.0,0.0,0.0
3.438,3.438,-6.84,-8.34,0.0,0.0,0.0,0.0
3.491,3.491,-6.84,-8.34,0.0,0.0,0.0,0.0
3.543,3.543,-6.84,-8.34,0.0,0.0,0.0,0.0
3.596,3.596,-6.84,-8.34,0.0,0.0,0.0,0.0
3.648,3.648,-6.84,-8.34,0.0,0.0,0.0,0.0
3.702,3.702,-6.84,-8.34,0.0,0.0,0.0,0.0
3.755,3.755,-6.84,-8.34,0.0,0.0,0.0,0.0
3.807,3.807,-6.84,-8.34,0.0,0.0,0.0,0.0
3.86,3.86,-6.84,-8.34,0.0,0.0,0.0,0.0
3.913,3.913,-6.84,-8.34,0.0,0.0,0.0,0.0
3.966,3.966,-6.84,-8.34,0.0,0.0,0.0,0.0
4.018,4.018,-6.84,-8.34,0.0,0.0,0.0,0.0
4.071,4.071,-6.84,-8.34,0.0,0.0,0.0,0.0
4.125,4.125,-6.84,-8.34,0.0,0.0,0.0,0.0
4.178,4.178,-6.84,-8.34,0.0,0.0,0.0,0.0
4.23,4.23,-6.84,-8.34,0.0,0.0,0.0,0.0
4.283,4.283,-6.84,-7.8,0.0,10.188679245283032,0.0,0.0
4.337,4.337,-6.84,-6.99,0.0,15.000000000000165,0.0,0.0
4.389,4.389,-6.84,-6.99,0.0,0.0,0.0,0.0
4.442,4.442,-6.84,-8.31,0.0,-24.905660377358526,0.0,0.0
4.494,4.494,-6.84,-8.31,0.0,0.0,0.0,0.0
4.548,4.548,-6.84,-8.31,0.0,0.0,0.0,0.0
4.6,4.6,-6.84,-8.31,0.0,0.0,0.0,0.0
4.706,4.706,-6.84,-8.31,0.0,0.0,0.0,0.0
4.758,4.758,-6.84,-8.31,0.0,0.0,0.0,0.0
4.812,4.812,-6.84,-8.31,0.0,0.0,0.0,0.0
4.864,4.864,-6.84,-8.31,0.0,0.0,0.0,0.0
4.917,4.917,-6.84,-8.31,0.0,0.0,0.0,0.0
4.969,4.969,-6.84,-8.31,0.0,0.0,0.0,0.0
5.023,5.023,-6.84,-8.31,0.0,0.0,0.0,0.0
5.076,5.076,-6.84,-8.31,0.0,0.0,0.0,0.0
5.128,5.128,-6.84,-8.31,0.0,0.0,0.0,0.0
5.181,5.181,-6.84,-8.31,0.0,0.0,0.0,0.0
5.234,5.234,-6.84,-8.31,0.0,0.0,0.0,10.0
5.287,5.287,-6.84,-8.82,0.0,-9.62264150943397,10.0,10.0
5.34,5.34,-6.84,-9.64,0.0,-15.471698113207571,10.0,10.0
5.393,5.393,-6.84,-9.13,0.0,9.62264150943397,10.0,10.0
5.446,5.446,-6.84,-9.13,0.0,0.0,10.0,10.0
5.499,5.499,-6.84,-11.16,0.0,-38.30188679245286,10.0,10.0
5.553,5.553,-6.84,-9.18,0.0,36.666666666666494,10.0,10.0
5.606,5.606,-6.84,-6.32,0.0,53.96226415094345,10.0,10.0
5.66,5.66,-6.84,-7.21,0.0,-16.481481481481392,10.0,10.0
5.712,5.712,-6.84,-7.21,0.0,0.0,10.0,10.0
5.765,5.765,-6.27,-4.02,10.754716981132093,60.1886792452831,10.0,10.0
5.818,5.818,-6.27,-4.59,0.0,-10.754716981132093,10.0,10.0
5.872,5.872,-6.27,-6.02,0.0,-26.481481481481342,10.0,10.0
