time_begin,time_begin_traj,theta_x,theta_y,vel_x,vel_y,X_throttle,Y_throttle
0.054,0.054,-1.35,-7.37,0.0,0.0,0.0,0.0
0.107,0.107,-1.35,-7.37,0.0,0.0,0.0,0.0
0.16,0.16,-1.35,-7.37,0.0,0.0,0.0,0.0
0.213,0.213,-1.35,-7.37,0.0,0.0,0.0,0.0
0.267,0.267,-1.35,-7.37,0.0,0.0,0.0,0.0
0.32,0.32,-1.35,-7.37,0.0,0.0,0.0,0.0
0.373,0.373,-1.35,-7.37,0.0,0.0,0.0,0.0
0.425,0.425,-1.35,-7.37,0.0,0.0,0.0,0.0
0.479,0.479,-1.35,-7.37,0.0,0.0,0.0,0.0
0.536,0.536,-1.35,-7.37,0.0,0.0,0.0,0.0
0.641,0.641,-1.35,-7.37,0.0,0.0,0.0,0.0
0.695,0.695,-1.35,-7.37,0.0,0.0,0.0,0.0
0.748,0.748,-1.35,-7.37,0.0,0.0,0.0,0.0
0.801,0.801,-1.35,-7.37,0.0,0.0,0.0,0.0
0.861,0.861,-1.35,-7.37,0.0,0.0,0.0,0.0
0.919,0.919,-1.35,-7.37,0.0,0.0,0.0,0.0
0.971,0.971,-1.35,-7.37,0.0,0.0,0.0,0.0
1.024,1.024,-1.35,-7.37,0.0,0.0,0.0,0.0
1.078,1.078,-1.35,-7.37,0.0,0.0,0.0,0.0
1.136,1.136,-1.35,-7.37,0.0,0.0,0.0,0.0
1.191,1.191,-1.35,-7.37,0.0,0.0,0.0,0.0
1.245,1.245,-1.35,-7.37,0.0,0.0,0.0,0.0
1.298,1.298,-1.35,-7.37,0.0,0.0,0.0,0.0
1.35,1.35,-1.35,-7.37,0.0,0.0,0.0,0.0
1.403,1.403,-1.35,-7.37,0.0,0.0,0.0,0.0
1.461,1.461,-1.35,-7.37,0.0,0.0,0.0,0.0
1.513,1.513,-1.35,-7.37,0.0,0.0,0.0,0.0
1.566,1.566,-1.35,-7.37,0.0,0.0,0.0,0.0
1.619,1.619,-1.35,-7.37,0.0,0.0,0.0,0.0
1.672,1.672,-1.35,-7.37,0.0,0.0,0.0,0.0
1.725,1.725,-1.35,-7.37,0.0,0.0,0.0,0.0
1.781,1.781,-1.35,-7.37,0.0,0.0,0.0,0.0
1.834,1.834,-1.35,-7.37,0.0,0.0,0.0,0.0
1.888,1.888,-1.35,-7.37,0.0,0.0,0.0,0.0
1.94,1.94,-1.35,-7.37,0.0,0.0,0.0,0.0
1.997,1.997,-1.35,-7.37,0.0,0.0,0.0,0.0
2.054,2.054,-1.35,-7.37,0.0,0.0,0.0,0.0
2.112,2.112,-1.35,-7.37,0.0,0.0,0.0,0.0
2.164,2.164,-1.35,-7.37,0.0,0.0,0.0,0.0
2.217,2.217,-1.35,-7.37,0.0,0.0,0.0,0.0
2.271,2.271,-1.35,-7.37,0.0,0.0,0.0,0.0
2.324,2.324,-1.35,-7.37,0.0,0.0,0.0,0.0
2.376,2.376,-1.35,-7.37,0.0,0.0,0.0,0.0
2.429,2.429,-1.35,-7.37,0.0,0.0,0.0,0.0
2.483,2.483,-1.35,-7.37,0.0,0.0,0.0,0.0
2.536,2.536,-1.35,-7.37,0.0,0.0,0.0,0.0
