time,theta_x,theta_y,X_throttle,Y_throttle,PX_raw,NX_raw,PY_raw,NY_raw
1879.00,-20.64,-2.98,0.00,0.00,0.00,0.00,0.00,0.00
1984.00,-21.34,-2.98,0.00,0.00,0.00,0.00,0.00,0.00
2048.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2111.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2174.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2238.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2301.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2364.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2427.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2491.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2683.00,-21.34,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2789.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2852.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2916.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
2979.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
3043.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
3106.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
3170.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
3233.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
3296.00,-21.90,-2.46,0.00,0.00,0.00,0.00,0.00,0.00
3487.00,-21.90,-2.46,0.00,1.00,0.00,0.00,21.00,0.00
3594.00,-21.90,-2.46,0.00,1.00,0.00,0.00,21.00,0.00
3658.00,-21.90,-1.80,0.00,1.00,0.00,0.00,21.00,0.00
3723.00,-21.90,-0.43,0.00,1.00,0.00,0.00,21.00,0.00
3787.00,-22.40,0.25,0.00,1.00,0.00,0.00,21.00,0.00
3851.00,-22.40,-0.37,0.00,1.00,0.00,0.00,21.00,0.00
3915.00,-22.40,-0.37,0.00,1.00,0.00,0.00,21.00,0.00
3980.00,-22.40,-0.37,0.00,1.00,0.00,0.00,21.00,0.00
4044.00,-22.40,-0.37,0.00,1.00,0.00,0.00,21.00,0.00
4109.00,-22.40,-0.37,0.00,1.00,0.00,0.00,21.00,0.00
4300.00,-22.40,0.20,0.00,2.00,0.00,0.00,22.44,0.00
4406.00,-22.40,1.43,0.00,2.00,0.00,0.00,22.44,0.00
4469.00,-22.40,2.73,0.00,2.00,0.00,0.00,22.44,0.00
4533.00,-22.40,2.73,0.00,2.00,0.00,0.00,22.44,0.00
4596.00,-23.01,2.21,0.00,2.00,0.00,0.00,22.44,0.00
4660.00,-23.01,2.21,0.00,2.00,0.00,0.00,22.44,0.00
4723.00,-23.01,2.21,0.00,2.00,0.00,0.00,22.44,0.00
4787.00,-23.01,2.21,0.00,2.00,0.00,0.00,22.44,0.00
4850.00,-23.01,2.21,0.00,2.00,0.00,0.00,22.44,0.00
4914.00,-23.01,2.21,0.00,2.00,0.00,0.00,22.44,0.00
5103.00,-23.01,2.95,0.00,1.00,0.00,0.00,21.00,0.00
5209.00,-23.01,5.02,0.00,1.00,0.00,0.00,21.00,0.00
5272.00,-23.01,5.94,0.00,1.00,0.00,0.00,21.00,0.00
5336.00,-23.01,5.94,0.00,1.00,0.00,0.00,21.00,0.00
5399.00,-23.01,5.94,0.00,1.00,0.00,0.00,21.00,0.00
5463.00,-23.01,5.94,0.00,1.00,0.00,0.00,21.00,0.00
5526.00,-23.01,6.47,0.00,1.00,0.00,0.00,21.00,0.00
5590.00,-23.01,6.47,0.00,1.00,0.00,0.00,21.00,0.00
5653.00,-23.01,6.47,0.00,1.00,0.00,0.00,21.00,0.00
5716.00,-23.01,7.41,0.00,1.00,0.00,0.00,21.00,0.00
5909.00,-23.01,8.67,0.00,2.00,0.00,0.00,22.44,0.00
6013.00,-23.01,9.55,0.00,2.00,0.00,0.00,22.44,0.00
6077.00,-23.70,10.20,0.00,2.00,0.00,0.00,22.44,0.00
6141.00,-23.70,10.82,0.00,2.00,0.00,0.00,22.44,0.00
6206.00,-23.70,11.39,0.00,2.00,0.00,0.00,22.44,0.00
6270.00,-23.70,11.96,0.00,2.00,0.00,0.00,22.44,0.00
6335.00,-23.70,12.71,0.00,2.00,0.00,0.00,22.44,0.00
