goal_x,goal_y
366,273
366,272
366,271
366,270
365,268
364,268
364,267
364,266
364,265
364,264
363,263
361,262
360,260
360,259
360,258
359,257
358,256
358,255
358,254
356,251
354,250
353,247
352,246
352,245
352,244
352,243
351,242
351,241
350,240
350,239
349,238
348,238
348,236
347,235
346,233
346,232
345,230
345,229
344,228
342,227
342,225
341,225
341,223
340,223
340,221
340,220
338,218
337,216
336,215
336,212
334,211
334,209
334,208
333,207
331,204
331,203
329,202
329,199
329,198
328,197
327,195
326,194
325,192
324,192
323,190
323,188
323,186
322,185
320,183
320,181
319,180
319,178
318,177
317,176
317,174
317,173
317,172
317,171
316,169
315,167
314,166
314,164
313,163
312,163
312,161
311,161
311,159
311,158
311,157
310,156
309,154
308,152
307,151
305,148
305,146
304,145
303,143
302,142
302,141
301,140
300,140
300,139
300,138
300,137
298,136
298,134
297,134
296,134
296,133
296,132
295,131
294,131
294,128
292,128
292,127
291,127
290,126
289,126
287,125
287,124
286,124
285,124
284,124
284,123
282,123
281,122
280,122
278,122
277,122
276,122
275,122
274,122
273,122
271,122
269,122
267,122
264,122
261,122
259,122
258,122
257,122
256,122
254,122
253,122
252,122
250,122
249,122
248,122
247,122
246,122
245,122
243,122
241,122
240,122
239,122
238,122
237,122
235,122
233,122
231,122
230,122
229,122
226,122
224,122
223,122
221,122
220,122
219,122
218,122
217,122
215,122
213,122
212,122
211,122
210,122
209,122
208,122
206,122
205,122
203,122
202,122
201,122
200,122
197,122
194,122
193,122
192,122
191,122
189,122
188,123
185,123
184,123
183,123
182,123
181,123
179,123
178,123
176,123
174,123
173,123
172,123
171,123
170,123
168,123
167,123
166,123
165,123
164,123
161,123
160,122
159,122
158,122
156,122
151,122
146,122
143,122
141,122
140,122
139,122
138,122
137,122
136,122
134,122
131,124
128,124
127,125
126,125
125,127
123,127
121,128
120,129
119,131
118,132
117,132
116,133
116,134
115,136
114,137
113,138
113,140
113,141
112,141
112,143
111,144
110,145
110,146
110,147
109,149
109,150
108,151
108,152
108,153
107,154
106,155
105,156
104,158
103,161
102,162
102,163
102,165
102,166
102,167
102,169
102,171
102,173
103,174
103,176
104,178
105,180
106,181
107,182
107,185
109,185
110,187
110,188
111,188
112,190
113,190
116,191
116,192
118,192
119,194
121,195
123,196
125,197
126,197
127,197
128,198
130,198
131,199
132,199
133,200
134,200
135,200
136,201
138,201
139,202
140,202
141,202
142,202
143,202
144,202
145,202
146,202
147,202
149,202
152,202
154,202
156,201
157,201
160,201
160,202
162,202
163,202
164,202
165,202
166,203
167,203
169,203
170,203
171,203
172,203
174,204
175,205
177,205
179,206
180,206
180,207
181,207
182,207
182,208
183,208
186,209
188,210
189,210
190,211
192,211
195,213
198,215
200,215
201,215
202,216
203,216
205,217
208,219
209,220
210,220
211,220
211,222
212,223
213,224
216,226
220,229
222,230
223,230
224,233
228,236
231,238
231,240
232,242
233,244
234,244
234,245
234,246
234,247
235,248
235,249
235,251
236,253
237,255
238,255
238,256
238,257
239,257
239,259
239,261
240,262
240,264
240,265
240,266
241,267
241,269
241,271
242,273
242,274
243,276
243,277
243,278
244,280
244,281
244,282
244,283
244,285
244,286
244,288
244,291
244,292
244,294
244,295
244,296
244,297
243,298
243,300
242,302
242,303
241,304
241,306
241,308
241,309
241,310
240,311
240,312
240,313
238,313
238,314
237,314
236,315
236,317
235,318
235,319
233,319
233,320
232,321
231,322
230,322
230,323
230,324
229,324
228,325
227,325
226,326
226,327
224,327
224,328
223,328
222,329
221,329
220,329
220,330
218,330
217,330
216,331
214,331
213,331
212,331
211,331
209,332
207,332
205,333
204,334
202,334
201,334
200,334
199,334
198,334
197,334
195,334
194,334
194,335
193,335
192,335
191,335
190,335
189,335
188,335
187,335
186,335
185,335
184,335
183,335
182,335
180,335
178,335
177,335
176,335
175,335
173,335
171,335
170,335
167,335
166,334
164,334
162,334
161,334
160,334
159,334
157,334
155,334
153,334
151,334
150,334
148,334
147,334
146,334
145,334
143,333
142,333
141,333
140,333
138,333
136,333
133,332
131,332
130,332
129,332
128,332
127,332
126,332
124,332
123,332
120,332
118,332
114,332
113,332
114,332
115,332
116,332
117,332
118,332
119,332
120,332
121,332
122,332
123,332
124,332
125,332
127,332
131,332
133,332
136,333
138,333
141,333
143,333
145,334
147,334
148,334
151,335
153,335
154,335
155,335
156,335
159,335
163,336
166,336
169,337
171,337
172,337
176,338
183,339
189,339
191,340
192,340
195,340
201,340
205,340
209,340
212,340
213,340
215,340
218,340
224,340
